Acronym,Definition
ARM,Artificial Recruitment Module
CDFG,California Department of Fish and Game (name changed in 2013)
CDFW,California Department of Fish and Wildlife
CINMS,Channel Islands National Marine Sanctuary
CINP,Channel Islands National Park
CPC,Climate Prediction Center
ENSO,El Niño-Southern Oscillation
FSC,Foliar Standing Crop
KFM(P),Kelp Forest Monitoring (Program)
LOESS,Locally Weighted Scatterplot Smoothing
MLPA,Marine Life Protection Act
MPA,Marine Protected Area Program
nMDS,Non-metric Multidimensional Scaling
NOAA,National Oceanic and Atmospheric Administration
NPS,National Park Service
NRPP,Natural Resources Preservation Program
PDO,Pacific Decadal Oscillation
PISCO,The Partnership for Interdisciplinary Studies of Coastal Oceans
ONI,Oceanic Niño Index
RCCA,Reef Check California
SBC LTER,Santa Barbara Coastal Long-Term Ecological Research
SST,Sea Surface Temperature
SSWD,Sea Star Wasting Disease
SMCA,State Marine Conservation Area
SMR,State Marine Reserve
RPC,Random Point Contact
UCSB,"University of California, Santa Barbara"
