ScientificName,CommonName,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,LL_a,LL_b,LL_Equation
Alloclinus holderi,Island Kelpfish,0.008303,3.089,g,cm,TL,,,
Anarrhichthys ocellatus,Wolf Eel,0.01289,2.9,g,cm,SL,,,
Anisotremus davidsonii,Sargo,0.0152,3.056,g,cm,TL,,,
Apodichthys flavidus,Penpoint Gunnel,7.61E-07,3.296,g,mm,TL,,,
Artedius corallinus,Coralline Sculpin,0.0000174,2.958,g,mm,TL,,,
Atherinops affinis,Topsmelt,5.57E-08,2.59,kg,mm,TL,,,
Atherinopsis californiensis,Jacksmelt,9.88E-10,3.354,kg,mm,TL,,,
Atractoscion nobilis,White Seabass,0.00001549,2.92167,kg,mm,TL,,,
Aulorhynchus flavidus,Tubesnout,1.62E-07,3.43,g,mm,TL,,,
Balistes polylepis,Finescale Triggerfish,0.0547,2.66,g,cm,TL,,,
Brachyistius frenatus,Kelp Surfperch,0.000005,3.3596,g,mm,SL,0.7823,0.53443,(SL = aTL + b)cm
Caulolatilus princeps,Ocean Whitefish,0.00000385,3.19,g,mm,TL,,,
Cebidichthys violaceus,Monkeyface Eel,0.01289,2.9,g,cm,SL,0.931,1.416,(SL = aTL + b)cm
Cephaloscyllium ventriosum,Swell Shark,0.000000021,2.88,kg,mm,TL,,,
Cheilotrema saturnum,Black Croaker,0.00004,2.9223,g,mm,SL,0.822,-0.01,(SL = aTL + b)mm
Chirolophis nugator,Mosshead Warbonnet,0.00001003,2.952,g,mm,TL,,,
Chitonotus pugetensis,Roughback Sculpin,0.005,3.268,g,cm,TL,,,
Chromis punctipinnis,Blacksmith,0.0082,3.255,g,cm,TL,,,
Citharichthys spp.,"Sanddabs, unidentifed sp.",0.0052,3.2325,g,cm,TL,,,
Citharichthys sordidus,Pacific Sanddab,0.0052,3.2325,g,cm,TL,,,
Citharichthys stigmaeus,Speckled Sanddab,0.0052,3.2325,g,cm,TL,,,
Clinocottus analis,Wooly Sculpin,0.0000174,2.958,g,mm,TL,,,
Cymatogaster aggregata,Shiner Surfperch,0.00001275,3.162,g,mm,SL,,,
Embiotoca jacksoni,Black Surfperch,0.000008,3.3244,g,mm,SL,0.799,-0.407,(SL = aTL + b)cm
Embiotoca lateralis,Striped Surfperch,0.0000154,3.01,g,mm,TL,,,
Hypsurus caryi,rainbow surfperch,0.0000154,3.01,g,mm,TL,,,
Engraulis mordax,Northern Anchovy,0.0485,2.413,g,cm,SL,,,
Enophrys bison,Buffalo Sculpin,0.00001612,3.055,kg,cm,TL,,,
Galeorhinus galeus,Tope/Soupfin Shark,0.00000778,2.9285,g,mm,TL,,,
Gibbonsia,Kelpfish spp.,0.0031,3.243,g,cm,TL,,,
Girella nigricans,Opaleye,0.00002,3.08,g,mm,SL,0,0.851,a+b*TL
Gymnothorax mordax,California Moray,1.12E-07,3.4274,g,mm,SL,,,
Halichoeres semicinctus,Rock Wrasse,0.0000045,3.16,g,mm,TL,,,
Hemilepidotus hemilepidotus,Red Irish Lord,3.58E-08,2.896,kg,mm,TL,,,
Hermosilla azurea,Zebra-perch sea chub,1.08E-08,3.1025,kg,mm,TL,,,
Heterodontus francisci,Horn Shark,0.000009,2.995,g,mm,TL,,,
Heterostichus rostratus,Giant Kelpfish,0.0031,3.243,g,cm,TL,,,
Hexagrammos decagrammus,Kelp Greenling,0.000026,2.8928,g,cm,TL,,,
Hexagrammos lagocephalus,Rock Greenling,0.000026,2.8928,g,cm,TL,,,
Hyperprosopon anale,Spotfin Surfperch,3.56E-10,3.717,kg,mm,TL,,,
Hyperprosopon argenteum,Walleye Surfperch,0.00001,3.2295,g,mm,SL,4.32,1.228,TL = 4.320 + 1.228 SL
Hyperprosopon ellipticum,Silver Surfperch,0.000004699,3.227,g,mm,TL,,,
Hypsypops rubicundus,Garibaldi,3.07E-05,3.11,g,mm,SL,0.79,0.42,SL = 0.79TL + 0.42
Jordania zonope,Longfin Sculpin,0.000006109,3.022,g,mm,TL,,,
Leiocottus hirundo,Lavender Sculpin,0.0000358,2.9,g,mm,TL,,,
Lepidogobius lepidus,Bay Goby,0.00829,3.1,g,mm,SL,,,
Lethops connectens,Kelp/Halfblind Goby,0.0115,2.984,g,cm,TL,,,
Liparis sp.,"Snailfish, unidentified sp.",0.007,3.195,g,cm,TL,,,
Liparis mucosus,Slimy Snailfish,0.00126,3.59,g,cm,TL,,,
Medialuna californiensis,Halfmoon,0.000003,3.454,g,mm,SL,0,0.92,a+b*TL
Micrometrus minimus,Dwarf Surfperch,0.01,3.207,g,cm,TL,,,
Mola mola,Ocean Sunfish,0.0454,3.0496,kg,cm,TL,,,
Mugil cephalus,Mullet,0.0000329,2.8,g,mm,TL,,,
Myliobatis californica,Bat Ray,1.05E-08,3.0928,kg,mm,TL,,,
Neoclinus blanchardi,Sarcastic Fringehead,0.009,3.003,g,cm,TL,,,
Neoclinus stephensae,Yellowfin Fringehead,0.0095,2.824,g,cm,TL,,,
Neoclinus uninotatus,Onespot Fringehead,0.0044,3.216,g,cm,TL,,,
Ophiodon elongatus,Lingcod,1.16E-08,2.99,kg,mm,TL,,,
Orthonopias triacis,Snubnose Sculpin,0.0000174,2.958,g,mm,TL,,,
Oxyjulis californica,Senorita,0.0000045,3.16,g,mm,TL,,,
Oxylebius pictus,Painted Greenling,1.82E-06,3.384,g,mm,TL,,,
Paralabrax clathratus,Kelp/Calico Bass,0.00000272,3.27,g,mm,TL,,,
Paralabrax maculatofasciatus,Spotted Sandbass,0.000026,3.0187,g,mm,SL,1.233,2.444,TL = 1.233 SL + 2.444
Paralabrax nebulifer,Barred Sandbass,0.000006844,3.1128,g,mm,TL,,,
Paralichthys californicus,California Halibut,0.00000849,3.033,g,mm,TL,,,
Phanerodon atripes,Sharpnose Surfperch,0.00002455,2.996,g,mm,SL,1.296,1.584,TL = 1.296 SL + 1.584
Phanerodon furcatus,White Surfperch,0.00002455,2.996,g,mm,SL,1.296,1.584,TL = 1.296 SL + 1.584
Platyrhinoides triseriata,Thornback,0.000007,2.9774,g,mm,TL,,,
Pleuronichthys coenosus,C-O Turbot,0.00002213,3.044,g,mm,SL,,,
Porichthys notatus,Plainfin Midshipman,0.0207,2.916,g,cm,SL,,,
Prionace glauca,Blue Shark,0.000000002,3.1305,kg,mm,TL,,,
Rhacochilus toxotes,Rubberlip Surfperch,0.0000154,3.01,g,mm,TL,,,
Rhacochilus vacca,Pile Surfperch,0.0000154,3.01,g,mm,TL,,,
Rhamphocottus richardsoni,Grunt Sculpin,0.0000174,2.958,g,mm,TL,,,
Coryphopterus nicholsi,Blackeye Goby,0.0115,2.984,g,cm,TL,,,
Sarda chiliensis,Eastern Pacific Bonito,7.63E-06,3.0892,kg,cm,FL,,,
Sardinops sagax,Pacific Sardine,0.000001,3.113,g,mm,SL,0,0.814,SL = 0 + 0.814 x TL
Sardinops sagax,Pacific Sardine,0.0000119,3.02,g,mm,SL,,,
Scomber japonicus,Pacific/Greenback Mackerel,0.000001366,3.39358,g,mm,FL,-2.47,1.01,FL = -2.47 + 1.010 x TL
Scorpaena guttata,California Scorpionfish,0.0201,3.0074,g,cm,TL,,,
Scorpaenichthys marmoratus,Cabezon,0.00001612,3.055,kg,cm,TL,,,
Sebastes serranoides,Olive rockfish,6.31E-06,3.136,g,mm,TL,,,
Sebastes atrovirens,Kelp Rockfish,0.000006291,3.172,g,mm,TL,,,
Sebastes auriculatus,Brown Rockfish,0.044,2.74,g,cm,TL,,,
Sebastes carnatus,Gopher Rockfish,0.00001299,3.08,g,mm,TL,,,
Sebastes caurinus,Copper Rockfish,0.00000898,3.13,g,mm,TL,,,
Sebastes chrysomelas,Black and Yellow Rockfish,0.00001117,3.11,g,mm,TL,,,
Sebastes dalli,Calico Rockfish,0.00945,3.21542,g,cm,TL,,,
Sebastes diploproa,Spitnose Rockfish,0.0195,2.927,g,cm,TL,0,0.964,FL = 0 + 0.964 x TL
Sebastes entomelas,Widow Rockfish,0.01642,2.94256,g,cm,TL,,,
Sebastes hopkinsi,Squarespot Rockfish,0.1464,2.98355,g,cm,TL,,,
Sebastes maliger,Quillback Rockfish,0.1,2.5,g,cm,TL,,,
Sebastes melanops,Black Rockfish,0.00000581,3.19,g,mm,TL,,,
Sebastes miniatus,Vermilion Rockfish,0.00001458,3.04,g,mm,TL,,,
Sebastes mystinus,Blue Rockfish,0.0000162,2.9884,g,mm,TL,,,
Sebastes nebulosus,China Rockfish,0.00000779,3.18,g,mm,TL,,,
Sebastes paucispinis,Bocaccio,0.0000583,3.0941,g,cm,TL,,,
Sebastes pinniger,Canary Rockfish,0.00000688,3.15,g,mm,TL,,,
Sebastes rastrelliger,Grass Rockfish,0.045,2.77,g,cm,TL,,,
Sebastes rubrivinctus,Flag Rockfish,0.0000234,2.9431,g,mm,TL,,,
Sebastes saxicola,Stripetail Rockfish,0.02479,2.80487,g,cm,TL,,,
Sebastes semicinctus,Halfbanded Rockfish,0.0127,3.016,g,cm,TL,,,
Sebastes serriceps,Treefish,0.014,3.081,g,cm,TL,,,
Semicossyphus pulcher,California Sheephead,0.0000295,2.9066,g,mm,TL,,,
Seriola lalandi,Yellowtail,0.000033743,2.85,g,mm,TL,,,
Sphyraena argentea,California Barracuda,0.00000412,2.983,g,cm,TL,,,
Squalus acanthias,Spiny Dogfish,0.0000011,2.94,kg,cm,TL,,,
Squalus acanthias,Spiny Dogfish,8.29E-08,3.57,g,mm,TL,,,
Squatina californica,Pacific Angel Shark,0.00000781,3.0193,g,mm,TL,,,
