Scientific_Name,ScientificName,CommonName,Data_Type,Classification,Targeted_Broad,ScientificName_Short_Form
IslandName,Island Name,Island Name,Categorical,Categorical,Categorical,NA
SurveyYear,Survey Year,Survey Year,Categorical,Categorical,Categorical,NA
island_kelpfish,Alloclinus holderi,island kelpfish,Count,Fish,Non-targeted,A. holderi
Aplysia_californica,Aplysia californica,California brown sea hare,Count,Invertebrates,Non-targeted,A. californica
articulated_coralline_algae,articulated coralline algae,articulated coralline algae,Percent Cover,Algae,Non-targeted,Corallinales (art.)
Astrangia_lajollaensis,Astrangia lajollaensis,La Jolla cup coral,Percent Cover,Invertebrates,Non-targeted,A. lajollaensis
Balanophyllia_elegans,Balanophyllia elegans,orange cup coral,Percent Cover,Invertebrates,Non-targeted,B. elegans
Bryozoa,Bryozoa,bryozoans,Count,Invertebrates,Non-targeted,Bryozoa
Centrostephanus_coronatus,Centrostephanus coronatus,Coronado urchin,Count,Invertebrates,Non-targeted,C. coronatus
Chlorophyta,Chlorophyta,other green algae,Percent Cover,Algae,Non-targeted,Chlorophyta
Corynactis_californicus,Corynactis californicus,club-tipped anemone,Percent Cover,Invertebrates,Non-targeted,C. californicus
blackeye_goby,Coryphopterus nicholsi,blackeye goby,Count,Fish,Non-targeted,C. nicholsi
Cryptochiton_stelleri,Cryptochiton stelleri,gumboot chiton,Count,Invertebrates,Non-targeted,C. stelleri
Cypraea_spadicea,Cypraea spadicea,chestnut cowrie,Count,Invertebrates,Non-targeted,C. spadicea
Cystoseira,Cystoseira,bladder chain kelp,Percent Cover,Algae,Non-targeted,Cystoseira
Desmarestia,Desmarestia,acid weed,Percent Cover,Algae,Non-targeted,Desmarestia
Diaperoecia_californica,Diaperoecia californica,Southern staghorn bryozoan,Percent Cover,Invertebrates,Non-targeted,D. californica
Diopatra_ornata,Diopatra ornata,ornate tube worm,Percent Cover,Invertebrates,Non-targeted,D. ornata
Eisenia_arborea,Eisenia arborea,Southern sea palm,Count,Algae,Non-targeted,E. arborea
encrusting_coralline_algae,encrusting coralline algae,encrusting coralline algae,Percent Cover,Algae,Non-targeted,Corallinales (enc.)
Gelidium,Gelidium,agar weed,Percent Cover,Algae,Non-targeted,Gelidium
Gigartina,Gigartina,sea tongue,Percent Cover,Algae,Non-targeted,Gigartina
Haliotis_assimilis,Haliotis assimilis,threaded abalone,Count,Invertebrates,Non-targeted,H. assimilis
Haliotis_corrugata,Haliotis corrugata,pink abalone,Count,Invertebrates,Non-targeted,H. corrugata
Haliotis_fulgens,Haliotis fulgens,green abalone,Count,Invertebrates,Non-targeted,H. fulgens
Haliotis_sorenseni,Haliotis sorenseni,white abalone,Count,Invertebrates,Non-targeted,H. sorenseni
Laminaria_farlowii,Laminaria farlowii,oar weed,Count,Algae,Non-targeted,L. farlowii
blue_banded_goby,Lythrypnus dalli,blue-banded goby,Count,Fish,Non-targeted,L. dalli
Misc_Invert,Misc Invert,Misc Invert,Percent Cover,Misc Invert,Non-targeted,NA
Ophiothrix_spiculata,Ophiothrix spiculata,spiny brittle star,Percent Cover,Invertebrates,Non-targeted,O. spiculata
Pachythyone_rubra,Pachythyone rubra,aggregated red sea cucumber,Percent Cover,Invertebrates,Non-targeted,P. rubra
Panulirus_interruptus,Panulirus interruptus,California spiny lobster,Count,Invertebrates,Targeted,P. interruptus
Parastichopus_parvimensis,Parastichopus parvimensis,warty sea cucumber,Count,Invertebrates,Targeted,P. parvimensis
Phaeophyta,Phaeophyta,other brown algae,Percent Cover,Algae,Non-targeted,Phaeophyta
Phragmatopoma_californica,Phragmatopoma californica,colonial sand-tube worm,Percent Cover,Invertebrates,Non-targeted,Ph. californica
Pisaster_ochraceus,Pisaster ochraceus,ochre sea star,Count,Invertebrates,Non-targeted,P. ochraceus
Plantae,Plantae,miscellaneous plants,Percent Cover,Algae,Non-targeted,Plantae
Porifera,Porifera,sponges,Percent Cover,Invertebrates,Non-targeted,Porifera
Pterygophora_californica,Pterygophora californica,California sea palm,Count,Algae,Non-targeted,Pt. californica
Rhodophyta,Rhodophyta,other red algae,Percent Cover,Algae,Non-targeted,Rhodophyta
Sargassum_horneri,Sargassum horneri,Sargassum horneri,Count,Algae,Non-targeted,S. horneri
Serpulorbis_squamigerus,Serpulorbis squamigerus,scaled wormsnail,Percent Cover,Invertebrates,Non-targeted,S. squamigerus
Styela_montereyensis,Styela montereyensis,stalked tunicate,Count,Invertebrates,Non-targeted,S. montereyensis
Stylaster_californicus,Stylaster californicus,California hydrocoral,Count,Invertebrates,Non-targeted,S. californicus
Tunicata,Tunicata,tunicates,Percent Cover,Invertebrates,Non-targeted,Tunicata
Urticina_lofotensis,Urticina lofotensis,white-spotted rose anemone,Count,Invertebrates,Non-targeted,U. lofotensis
Undaria_pinnatifida,Undaria pinnatifida,"wakame, adult",Count,Algae,Non-targeted,U. pinnatifida
bat_ray,Myliobatis californica,bat ray,Count,Fish,Non-targeted,M. californica
brown_rockfish,Sebastes auriculatus,brown rockfish,Count,Fish,Targeted,S. auriculatus
c_o_turbot,Plueronichthys coenosus,c o turbot,Count,Fish,Targeted,P. coenosus
copper_rockfish,Sebastes caurinus,copper rockfish,Count,Fish,Targeted,S. caurinus
coralline_sculpin,Artedius corallinus,coralline sculpin,Count,Fish,Non-targeted,A. corallinus
crevice_kelpfish,Gibbonsia montereyensis,crevice kelpfish,Count,Fish,Non-targeted,G. montereyensis
fringehead_spp.,Neoclinus spp.,fringehead spp.,Count,Fish,Non-targeted,Neoclinus spp.
giant_kelpfish,Heterostichus rostratus,giant kelpfish,Count,Fish,Non-targeted,H. rostratus
gopher_rockfish,Sebastes carnatus,gopher rockfish,Count,Fish,Targeted,S. carnatus
jack_mackerel,Trachurus symmetricus,jack mackerel,Count,Fish,Targeted,T. symmetricus
kelp_surfperch,Brachyistius frenatus,kelp surfperch,Count,Fish,Non-targeted,B. frenatus
kelpfish_spp.,kelpfish spp.,kelpfish spp.,Count,Fish,Non-targeted,NA
