Common_Name,CommonName,ScientificName,Data_Type,Classification,Targeted
SiteNumber,Site Number,SiteNumber,Categorical,Meta data,Categorical
IslandCode,Island Code,IslandCode,Categorical,Meta data,Categorical
IslandName,Island Name,IslandName,Categorical,Meta data,Categorical
SiteCode,Site Code,SiteCode,Categorical,Meta data,Categorical
SiteName,Site Name,SiteName,Categorical,Meta data,Categorical
SurveyYear,Survey Year,SurveyYear,Categorical,Meta data,Categorical
ReserveStatus,Reserve Status,ReserveStatus,Categorical,Meta data,Categorical
Reference,Reference,Reference,Categorical,Meta data,Categorical
brown_algae,brown algae,Phaeophyta,Percent Cover,Algae,Non-targeted
bladder_chain_kelp,bladder chain kelp,Cystoseira,Percent Cover,Algae,Non-targeted
red_algae,red algae,Rhodophyta,Percent Cover,Algae,Non-targeted
articulated_coralline_algae,articulated coralline algae,articulated coralline algae,Percent Cover,Algae,Non-targeted
encrusting_coralline_algae,encrusting coralline algae,encrusting coralline algae,Percent Cover,Algae,Non-targeted
sea_tongue,sea tongue,Gigartina,Percent Cover,Algae,Non-targeted
orange_cup_coral,orange cup coral,Balanophyllia elegans,Percent Cover,Invertebrate,Non-targeted
La_Jolla_cup_coral,La Jolla cup coral,Astrangia lajollaensis,Percent Cover,Invertebrate,Non-targeted
ornate_tube_worm,ornate tube worm,Diopatra ornata,Percent Cover,Invertebrate,Non-targeted
scaled_wormsnail,scaled wormsnail,Serpulorbis squamigerus,Percent Cover,Invertebrate,Non-targeted
tunicates,tunicates,Tunicata,Percent Cover,Invertebrate,Non-targeted
Misc_Inverts,Misc Inverts,Misc Inverts,Percent Cover,Invertebrate,Non-targeted
acid_weed,acid weed,Desmarestia,Percent Cover,Algae,Non-targeted
green_algae,green algae,Chlorophyta,Percent Cover,Algae,Non-targeted
agar_weed,agar weed,Gelidium,Percent Cover,Algae,Non-targeted
miscellaneous_plants,miscellaneous plants,Plantae,Percent Cover,Algae,Non-targeted
sponges,sponges,Porifera,Percent Cover,Invertebrate,Non-targeted
club_tipped_anemone,club-tipped anemone,Corynactis californicus,Percent Cover,Invertebrate,Non-targeted
colonial_sand_tube_worm,colonial sand-tube worm,Phragmatopoma californica,Percent Cover,Invertebrate,Non-targeted
bryozoans,bryozoans,Bryozoa,Percent Cover,Invertebrate,Non-targeted
Southern_staghorn_bryozoan,Southern staghorn bryozoan,Diaperoecia californica,Percent Cover,Invertebrate,Non-targeted
aggregated_red_sea_cucumber,aggregated red sea cucumber,Pachythyone rubra,Percent Cover,Invertebrate,Non-targeted
