Indicator,Species,Kingdom,Phylum,Subphylum,Class,Order,Family,Genus,Species (Used by KFM),Status,Currently Accepted Name,Authority (Accepted),ScientificName,ScientificName_Short_Form,CommonName,Common_Name,CommonNameSimple,CommonName_Capitalized,AlternateTaxonName,SpeciesName,ID_Short,ID_Long,Abundance,Abundance_Long,Habitat_Broad,Habitat_Specific,Size_Range,Size_Range_Long,Geographic_Range,Life_Stage,Sex,Trophic_Complete,Trophic_Broad,Color,Classification,Class_Short,oneM_,fiveM_,bands_,rpc_,rdfc_,VFT_,Targeted_Broad,Commercial_Fishery,Recreational_Fishery,Bag_Limit,Legal_Size_cm,Fishery_Info_notes,Useful_Links
TRUE,1001,Plantae,Chlorophyta,NA,NA,NA,NA,NA,NA,Accepted,Chlorophyta,"Pascher, 1914",Chlorophyta,Chlorophyta,green algae,green_algae,green algae,Other Green Algae,Chlorophyta,Green Algae,"all taxa of green algae. often bladey, filamentous, or bulbous",NA,Abundant,Abundant,Benthic,NA,NA,NA,NA,NA,NA,producer,Producer,green,Algae,A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://marinespecies.wildlife.ca.gov/
TRUE,2001,Chromista,Ochrophyta,Phaeista,Phaeophyta,NA,NA,NA,NA,Unaccepted,Phaeophyceae,"Kjellman, 1891",Phaeophyta,Phaeophyta,brown algae (miscellaneous),brown_algae,brown algae,Other Brown Algae,Phaeophyta,Other Brown Algae,other taxa of brown algae ,NA,Common,Common,Benthic,NA,NA,NA,NA,NA,NA,producer,Producer,brown,Algae,A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://govt.westlaw.com/calregs/Browse/Home/California/CaliforniaCodeofRegulations?guid=IF4A235E0D47F11DEBC02831C6D6C108E&originationContext=documenttoc&transitionType=Default&contextData=(sc.Default)
TRUE,2002,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,Accepted,Macrocystis pyrifera,"(Linnaeus) C. Agardh, 1820",Macrocystis pyrifera,M. pyrifera,"giant kelp, adult (>1m)",giant_kelp,giant kelp,Giant Kelp (> 1 m tall),"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),The largest of kelps possessing many round stipes each bearing numerous blades attached by gas filled floats. Large conical holdfast of root like haptera.,NA,Abundant,Abundant,Benthic,NA,to 30 m,to 30 m,"SE Alaska to northern Baja, temperate waters of S. hemisphere",Adult,NA,producer,Producer,forestgreen,Algae,A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Targeted,Targeted,Non-targeted,NA,NA,NA,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=153121&inline
TRUE,2002.1,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,Accepted,Macrocystis pyrifera,"(Linnaeus) C. Agardh, 1820",Macrocystis pyrifera,M. pyrifera,giant kelp,giant_kelp,giant kelp,Giant Kelp,"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),The largest of kelps possessing many round stipes each bearing numerous blades attached by gas filled floats. Large conical holdfast of root like haptera.,NA,Abundant,Abundant,Benthic,NA,to 30 m,to 30 m,"SE Alaska to northern Baja, temperate waters of S. hemisphere",Adult,NA,producer,Producer,forestgreen,Algae,A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Targeted,Targeted,Non-targeted,NA,NA,NA,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=153121&inline
TRUE,2002.25,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,Accepted,Macrocystis pyrifera,"(Linnaeus) C. Agardh, 1821",Macrocystis pyrifera,M. pyrifera,"giant kelp, adult (>1m and haptera above the primary dichotomy)",giant_kelp,giant kelp,Giant Kelp (Adult),"Macrocystis pyrifera, adult",Macrocystis adult (haptera above the primary dicotomy),haptera above the primary dicotomy,NA,Abundant,Abundant,Benthic,NA,to 30 m,to 30 m,"SE Alaska to northern Baja, temperate waters of S. hemisphere",Adult,NA,producer,Producer,forestgreen,Algae,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Targeted,Targeted,Non-targeted,NA,NA,NA,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=178022&inline
TRUE,2002.5,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,Accepted,Macrocystis pyrifera,"(Linnaeus) C. Agardh, 1822",Macrocystis pyrifera,M. pyrifera,"giant kelp, juvenile (<1m)",giant_kelp,giant kelp,Giant Kelp (Juvenile),"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),< 1 m tall,NA,Abundant,Abundant,Benthic,NA,to 1 m,to 1 m,"SE Alaska to northern Baja, temperate waters of S. hemisphere",Juvenile,NA,producer,Producer,tan3,Algae,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Targeted,Targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2002.75,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,Accepted,Macrocystis pyrifera,"(Linnaeus) C. Agardh, 1823",Macrocystis pyrifera,M. pyrifera,"giant kelp, subadult (>1m and no haptera above the primary dichotomy)",giant_kelp,giant kelp,Giant Kelp (Sub-adult),"Macrocystis pyrifera, subadult",Macrocystis subadult (over 1m tall),over 1 m tall,NA,Abundant,Abundant,Benthic,NA,to 30 m,to 30 m,"SE Alaska to northern Baja, temperate waters of S. hemisphere",Subadult,NA,producer,Producer,green4,Algae,A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Targeted,Targeted,Non-targeted,NA,NA,NA,http://texts.cdlib.org/view?docId=kt896nb2qd&brand=calisphere&doc.view=entire_text
TRUE,2002.99,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,Accepted,Macrocystis pyrifera,"(Linnaeus) C. Agardh, 1824",Macrocystis pyrifera,M. pyrifera,giant kelp stipes > 1m,giant_kelp,giant kelp,Giant Kelp (Adult and Sub-adult),Macrocystis pyrifera stipes >1m,Macrocystis pyrifera STIPES (>1m tall),> 1 m tall,NA,Abundant,Abundant,Benthic,NA,to 1 m,to 1 m,"SE Alaska to northern Baja, temperate waters of S. hemisphere",NA,NA,producer,Producer,forestgreen,Algae,A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Targeted,Targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2003,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia spp.,Accepted,Desmarestia spp.,"J.V. Lamouroux, 1813",Desmarestia,Desmarestia,acid weed,acid_weed,acid weed,Acid Weed,Desmarestia spp.,Desmarestia spp.,"Thin annual thalli with a midrib that rises from a small discoid holdfast. Olive to dark brown with fine branching in young specimens becoming broader with less branching in mature individuals. Blades lie low along substrate, can blanket the bottom at high densities. Fast growing",NA,Abundant,Abundant,Benthic,NA,to 3 m,to 3 m,Alaska to San Diego; widely distributed in N. hemisphere,NA,NA,producer,Producer,lawngreen,Algae,A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2004,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,Eisenia arborea,Accepted,Eisenia arborea,"J.E. Areschoug, 1876",Eisenia arborea,E. arborea,"Southern sea palm, adult",Southern_sea_palm,Southern sea palm,Southern Sea Palm (Adult),"Eisenia arborea, adult",Eisenia arborea adult,Erect tree-like stipe that terminates into two branches bearing leafy blades with toothed margins.,NA,Abundant,Abundant,Benthic,NA,1-2 m,1-2 m,"disjunct pattern: British Columbia, Monterey Bay region, southern California to Baja",Adult,NA,producer,Producer,seagreen4,Algae,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
