SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Date,ScientificName,CommonName,Mean_Density,Mean_Biomass,Survey_Type,ReserveStatus,Reference,ReserveYear
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Megastraea undosa,wavy turban snail,0,0,1 m² quads,Outside,FALSE,Outside
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Parastichopus parvimensis,warty sea cucumber,0.0333,14.031901109153079,1 m² quads,Outside,FALSE,Outside
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Patiria miniata,bat star,1.6,15.422207611760868,1 m² quads,Outside,FALSE,Outside
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Pisaster giganteus,giant-spined sea star,0.2333,6.932256497769121,1 m² quads,Outside,FALSE,Outside
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Strongylocentrotus franciscanus,red sea urchin,0.5667,168.49633537663496,1 m² quads,Outside,FALSE,Outside
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,1982-07-01,Strongylocentrotus purpuratus,purple sea urchin,0.1,99.73034215494114,1 m² quads,Outside,FALSE,Outside
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Crassedoma giganteum,rock scallop,0.06,7.762127159670067,bands transects,Outside,FALSE,Outside
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Haliotis corrugata,pink abalone,0,0,bands transects,Outside,FALSE,Outside
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Haliotis fulgens,green abalone,0,0,bands transects,Outside,FALSE,Outside
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,1983-07-01,Haliotis rufescens,red abalone,0.02,16.622322269206624,bands transects,Outside,FALSE,Outside
