SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Date,ScientificName,CommonName,Count,Mean_Biomass,ReserveStatus,Reference
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2008,2008-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2009,2009-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2010,2010-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2011,2011-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2012,2012-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2013,2013-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2014,2014-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2015,2015-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,2016-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2017,2017-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2018,2018-07-01,Caulolatilus princeps,ocean whitefish,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2019,2019-07-01,Caulolatilus princeps,ocean whitefish,6.5,879.3528191722702,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,2005-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,2006-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,2007-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2008,2008-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2009,2009-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2010,2010-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2011,2011-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2012,2012-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2013,2013-07-01,Chromis punctipinnis,blacksmith,0,0,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2014,2014-07-01,Chromis punctipinnis,blacksmith,72,78.40195847453307,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2015,2015-07-01,Chromis punctipinnis,blacksmith,77.5,652.5655805178549,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,2016-07-01,Chromis punctipinnis,blacksmith,74,871.7522361256032,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2017,2017-07-01,Chromis punctipinnis,blacksmith,1,9.239276585933968,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2018,2018-07-01,Chromis punctipinnis,blacksmith,11.833333333333334,1180.8883206749151,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2019,2019-07-01,Chromis punctipinnis,blacksmith,6,1656.9479594683337,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-07-01,Embiotoca jacksoni,black surfperch,5,1372.7483306766433,Outside,FALSE
