SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,ReserveStatus,Reference,brown_algae,bladder_chain_kelp,red_algae,articulated_coralline_algae,encrusting_coralline_algae,sea_tongue,orange_cup_coral,La_Jolla_cup_coral,ornate_tube_worm,scaled_wormsnail,tunicates,Miscellaneous_Invertebrates_w_spiny_brittle_stars,acid_weed,green_algae,agar_weed,miscellaneous_plants,sponges,club_tipped_anemone,colonial_sand_tube_worm,bryozoans,Southern_staghorn_bryozoan,aggregated_red_sea_cucumber,spiny_brittle_star,Miscellaneous_Invertebrates_wo_spiny_brittle_stars,island_kelpfish,California_brown_sea_hare,Coronado_urchin,blackeye_goby,gumboot_chiton,chestnut_cowrie,Southern_sea_palm,threaded_abalone,white_abalone,oar_weed,blue_banded_goby,California_spiny_lobster,ochre_sea_star,California_sea_palm,devil_weed,stalked_tunicate,California_hydrocoral,white_spotted_rose_anemone,wakame,wavy_turban_snail,warty_sea_cucumber,bat_star,giant_spined_sea_star,red_sea_urchin,purple_sea_urchin,rock_scallop,pink_abalone,green_abalone,red_abalone,Kellets_whelk,red_gorgonian,white_sea_urchin,giant_kelp,giant_keyhole_limpet,brown_gorgonian,sunflower_star,orange_puffball_sponge,red_turban_snail,California_golden_gorgonian,queen_tegula,total_benthic_biomass,total_biomass,simpson,richness_2005,shannon_2005,copper_rockfish,kelp_surfperch,painted_greenling,rainbow_surfperch,Rockfish_YOY,sculpin_spp.,speckled_sanddab,surfperch_spp.,tubesnout,brown_rockfish,top_smelt,vermillion_rockfish,coralline_sculpin,gopher_rockfish,kelpfish_spp.,giant_kelpfish,kelp_greenling,soupfin_shark,cusk_eel_spp.,larval_fish_spp.,swell_shark,bat_ray,fringehead_spp.,jack_mackerel,c_o_turbot,Pacific_angel_shark,black_rockfish,grass_rockfish,stripedfin_ronquil,ronquil_spp.,gunnel_spp.,clingfish_spp.,crevice_kelpfish,shiner_surfperch,zebra_perch,spotted_kelpfish,bocaccio,prickleback_spp.,yellowtail,sanddab_spp.,Pacific_barracuda,horn_shark,California_moray_eel,zebra_goby,Pacific_bonito,yellowfin_fringehead,baitfish_spp.,Pacific_mackerel,onespot_fringehead,finescale_triggerfish,barred_sand_bass,black_croaker,sargo,orangethroat_pikeblenny,thornback_ray,halfbanded_rockfish,white_seabass,plain_cardinalfish,leopard_shark,giant_black_sea_bass,California_halibut,swallowtail_damselfish,wolf_eel,monkeyface_prickleback,broadnose_sevengill_shark,sarcastic_fringehead,plainfin_midshipman,walleye_surfperch,ocean_sunfish,ocean_whitefish,blacksmith,black_surfperch,striped_surfperch,opaleye,rock_wrasse,garibaldi,halfmoon,lingcod,senorita,kelp_bass,rubberlip_surfperch,pile_perch,California_scorpionfish,cabezon,kelp_rockfish,black_and_yellow_rockfish,blue_rockfish,olive_rockfish,treefish,California_sheephead_female,California_sheephead_male,total_fish_biomass
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,Outside,FALSE,12.33,0,27.83,13.170000000000002,41.67,0.5,1.3299999999999998,0.5,14.17,0,1.5,0,17.5,0.16999999999999998,0,0.16999999999999998,0.83,0.67,0,9.17,0,0,0,3.5000000000000004,0,0,0,833.4,0,0,166.6,0,0,0,0,0,0,1750,0,333.4,0,483.4,0,0,45.18561334954154,29.689662607875892,0.2497969472402607,61.52375214248205,0.021772272146931126,2.829452507720048,0,0,28.969135023193026,9.28069155490428,0,0,17.150704325625,0.3224327228763867,0,3.6705116584352453,15.85280437954011,14.537989763255643,0,0,229.28431925483642,59448.47241506828,0.8657821128869346,75,2.0893961773604244,3,5.333333333333333,22.5,5,2,3.5,7,41.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.0748176606905,4735.3189821985825,0,0,0,0,3869.9843857106016,1361.796406991208,1656.7853288257052,1224.423963240586,603.1810900775606,0,0,2893.1503624786037,1466.3444784452588,2872.4574567823943,596.2552470303845,654.1590556664844,3220.440498110116,3744.2219746885467,29609.59404790672
1,SM,San Miguel Island,WL,Wyckoff Ledge,2006,Outside,FALSE,12.17,1.3299999999999998,64.67,17.83,23.169999999999998,0.5,3,0,11.67,0,2.5,0,14.17,0.16999999999999998,0,0,0.67,0.33,0,9.83,0,0,0,8.83,0,0,0,416.6,0,0,500,0,0,0,0,0,0,2000,0,250,0,636.1999999999999,0,0,35.44715907349808,30.662175558100216,2.1226920636162028,490.2685283614432,1.244319293748397,4.1886425259618925,0,0,33.53188118646444,23.99237696044931,0,0,69.4836780445631,1.0743505944843492,0,0.4068133880879221,26.504055822264462,37.12777962280922,0,0,756.0544524954908,50479.89798398352,0.8580983076676725,75,2.2298363259031144,2.6666666666666665,7.5,4,3,0,1,3,0,325,1.5,11,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593.3061683486276,2499.1961294936964,0,0,0,0,3869.9843857106016,0,0,0,556.5858045602039,0,0,2911.8736495889507,2645.170431705173,2887.5886035983976,596.2552470303845,478.31312590081416,3079.4262451186223,3744.2219746885467,24861.921765744017
1,SM,San Miguel Island,WL,Wyckoff Ledge,2007,Outside,FALSE,7.5,0,25.330000000000002,11,33.67,0,1.5,0.5,14.000000000000002,0,1.3299999999999998,0,0.16999999999999998,0.33,0,0,2.33,0.33,0,21.67,0,0,0,14.499999999999998,0,0,0,166.6,0,0,0,0,0,0,0,0,0,1166.8,0,166.6,0,797.2,0,0,15.993604128787734,26.58415268611119,1.9589481104401432,45.46444432859021,6.975443095147098,2.996223095571966,0,0,77.47467765384455,38.87711480573766,0,0,72.38822906476666,0.4642315971408722,0,1.4909665964329955,24.221847707921093,22.485879595766722,0,0,337.3757624662589,46379.483058939244,0.8750293080570348,80,2.334214815362262,4.25,11,39.25,0,64,5,0,0,148.66666666666666,0,0,2.5,2.6666666666666665,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.462502312282,3209.196769893564,0,0,0,0,1362.631116812659,613.3541290029916,0,0,613.2722280582994,0,0,4331.3758821362935,3445.868316015403,1627.5963895509797,1848.339357236305,408.17374201701676,3010.075296654349,2063.707918546348,23021.05364823649
1,SM,San Miguel Island,WL,Wyckoff Ledge,2008,Outside,FALSE,4,0.83,31.5,9.67,16.17,1,0.5,0.5,10,0,0.5,0,12.33,0,0,0.16999999999999998,1.17,0,0,19.17,0,0,0,2.33,0,0,0,0,0,0,166.6,0,0,0,0,0,0,3916.6,0,833.4,0,655.5999999999999,0,0,15.993604128787734,24.0330089301575,0.5608531264683158,60.20194827432805,3.4582400752825664,0.11715298609870567,0,0,50.80190169445629,20.80149099978646,0,0,41.75530878826612,0.019979018389744516,0,0.08394115863342269,17.11737018607097,1.2097589109153248,0,1.404145378444999,237.5587036560862,50412.78700300751,0.8553282933594539,79,2.0646116350025494,3.6,3,9.6,10.25,4,3.5,0,27,4110,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.8486881888484,2078.0040325657264,0,0,0,0,809.0462840594375,33.85796817150109,0,0,1302.1103728379098,0,0,4869.389256139342,1761.8412222815223,6987.80285511061,0,478.31312590081416,1519.3208874719037,4605.079456948096,25087.614149675712
1,SM,San Miguel Island,WL,Wyckoff Ledge,2009,Outside,FALSE,11.33,1.3299999999999998,56.330000000000005,15.67,34.67,1.67,0.33,0,14.499999999999998,0,4,0,9.33,0.16999999999999998,0,0,0.33,0.33,0.5,28.33,0,0,0.83,6,0,0,0,416.6,0,0,83.4,0,0,0,0,0,0,2833.4,0,833.4,0,547.2,0,0,35.44715907349808,30.840054950745433,1.0003942133786776,78.28549930809712,1.6055165245398477,1.8523193451332254,0,0,70.7409254903876,17.934864524975342,0,0,48.965411143960395,0.30668863826408604,0,0.3352313912430863,30.124136002306184,41.3376442702258,0,0,358.7758448767549,36447.99376252772,0.886442667518284,80,2.3354826760654697,3,10.25,13.6,4,82.2,2.5,1,1,388.8,0,0,4.25,1.5,0,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918.4290753872259,591.8110447440175,0,0,0,0,1811.9342354550947,104.46856217737809,0,0,320.57204742014767,0,0,2147.72332582795,3828.709852315736,3956.7346713467105,0,250.35649996128217,1532.81191508364,2581.0577291063028,18044.608958825484
1,SM,San Miguel Island,WL,Wyckoff Ledge,2010,Outside,FALSE,11.33,2,44.83,14.17,10.33,0.16999999999999998,0.5,0.33,9,0,0.83,0,0.67,0,0,0.16999999999999998,1.17,0.16999999999999998,0,19.5,0,0,0,22,0,0,0,83.4,0,0,0,0,0,0,0,0,0,3916.6,0,250,0,497.2,0,0,35.44715907349808,40.0810368053002,1.0366422190975975,86.89941436620022,4.673918449641254,1.0457245803046091,0,0,44.29712285448254,18.435330026126522,0,0,59.59274210122549,0.3409023038851796,0,0.21024805683115924,21.37382376647591,10.837510533868322,0,0,324.2715751369371,36080.86966700779,0.8899442683722292,77,2.0327646163506374,2,1.5,6,2.6666666666666665,171.33333333333334,3,12,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.2142770786866,1496.3778668671287,0,0,0,0,1811.9342354550947,599.2770608552661,0,0,0,0,0,1749.6493850061177,2862.2486130245215,4039.9796362330653,0,808.395996727,0,3744.2219746885467,17878.299045935426
1,SM,San Miguel Island,WL,Wyckoff Ledge,2011,Outside,FALSE,6,0.33,31.5,7.670000000000001,13.83,0,0.33,0.33,9,0,5.83,0,3,0,0,0,0,0.5,4,16.5,0,0,0,29.330000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,1916.6,0,666.6,0,727.8,0,0,45.18561334954154,40.482185162499185,2.3799649558461526,128.62964924229493,7.250990527095391,2.4491793160431676,0,0,126.14701209388222,49.19627273283592,0,0,32.10583566973451,1.1124747936454773,0,1.519035600381955,37.375284423763205,10.62984895658751,0,0,484.4633468241512,60396.06095599236,0.8871323841447607,84,2.260718623957087,8,6,16,2,10,4,7,21.333333333333332,558.75,0,0,2.333333333333333,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.0748176606905,2775.56340274888,0,0,0,0,6334.971871596448,347.32076448542705,0,0,0,0,1268.0726767321867,5117.882363909749,3812.072061436749,3966.975996331288,16.965390658711744,781.8063170690217,1078.8711672664074,3744.2219746885467,29955.798804584105
1,SM,San Miguel Island,WL,Wyckoff Ledge,2012,Outside,FALSE,12.33,1.3299999999999998,47,12.17,22,0.16999999999999998,0.5,0,11,0,1.3299999999999998,0,7.5,0,1.67,1.17,2.17,0,0,10.5,0,0,0,3.5000000000000004,0,0,0,83.4,11.2,0,83.4,0,0,0,0,0,0,3000,0,250,0,708.4,0,0,54.90071401820842,49.95532552306847,3.7830630688138824,281.32441473913724,9.00389992405048,1.549006697788365,0,0,69.8229566659436,19.92240600241069,0,0,17.7625558349,0.6637734937077944,0,0.1253248813533151,32.53345047996225,14.682475223940358,0,0,556.0293665532848,87402.81961929753,0.890782760607531,79,2.094147505830246,4.666666666666667,0,2.3333333333333335,0,0,0,0,0,418.3333333333333,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280.360466348402,0,0,0,0,5971.712915476428,546.525726536961,0,0,1148.1480908615017,0,3005.7679680335127,7778.942635557397,4916.189373670072,6016.23010584623,0,1617.909724531477,11141.608119510141,0,43423.395126372125
1,SM,San Miguel Island,WL,Wyckoff Ledge,2013,Outside,FALSE,2.33,0.16999999999999998,23.169999999999998,12.5,29.17,0,0.5,0.33,11,0,1,0,0,0,0,5.33,0.67,0.33,0,14.000000000000002,0,0,0,16.33,0,0,0,750,0,0,0,0,0,166.6,0,0,0,2166.6,0,500,0,791.6,0,0,0,41.439463847165015,1.2603714237691375,273.93959745242466,12.259707262687064,3.587423868419225,0,0,98.22417375284485,37.25153655202877,0,0,49.948446036,1.2009918881005794,0,0.6182819594649128,24.9394211935779,15.207074832756918,0,0,559.876490069239,141123.07961832322,0.8713733118846558,83,2.351740678378783,16.5,24,36.75,7.5,19.75,0,6,0,141.25,0,0,0,0,1,1.5,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.403644882005754,3549.67455524571,0,0,0,0,4116.3410105468765,2332.043560950979,0,0,463.39523352549065,0,5873.772185903223,10408.944208886342,6776.118142843645,7611.236589013867,5243.636611661749,859.3193969693265,11897.325807556545,11130.390616141227,70281.60156412699
1,SM,San Miguel Island,WL,Wyckoff Ledge,2014,Outside,FALSE,3.17,0,26.33,5.33,16.669999999999998,0,0.16999999999999998,0.16999999999999998,5.5,0,0,0,1.5,0,0,0,0.83,0,1,6.83,0,0,0.33,25,0,2.8,0,250,0,0,0,0,0,0,0,0,0,500,0,916.6,0,652.8000000000001,0,0,0,34.29836395727502,0.14901816282810076,150.85276134684352,52.375474719398696,1.8148811649732226,0,0,105.12003047228579,34.36007402685612,0,0,27.035384224310345,0.43115774073548424,0,0,11.070126071006797,18.805952046145055,0,0,436.31322393265816,112056.91211535496,0.8359746584089156,83,2.006895917056445,5,67,13.75,0,0,0,3,0,64,0,0,0,0,1,2,1,1,0,1,35,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.40195847453307,245.2435898872004,1245.859940181071,0,0,0,0,11913.292863599856,5706.368862895983,0,0,129.9035464597869,0,2545.779743654895,6539.833689917705,5458.258256643914,10523.481456279173,20.9094084751897,0,1519.9006133071327,9883.065515934712,55810.29944571115
