SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,ReserveStatus,Reference,brown_algae,bladder_chain_kelp,red_algae,articulated_coralline_algae,encrusting_coralline_algae,sea_tongue,orange_cup_coral,La_Jolla_cup_coral,ornate_tube_worm,scaled_wormsnail,tunicates,Miscellaneous_Invertebrates_w_spiny_brittle_stars,acid_weed,green_algae,agar_weed,miscellaneous_plants,sponges,club_tipped_anemone,colonial_sand_tube_worm,bryozoans,Southern_staghorn_bryozoan,aggregated_red_sea_cucumber,spiny_brittle_star,Miscellaneous_Invertebrates_wo_spiny_brittle_stars,island_kelpfish,California_brown_sea_hare,Coronado_urchin,blackeye_goby,gumboot_chiton,chestnut_cowrie,Southern_sea_palm,threaded_abalone,white_abalone,oar_weed,blue_banded_goby,California_spiny_lobster,ochre_sea_star,California_sea_palm,devil_weed,stalked_tunicate,California_hydrocoral,white_spotted_rose_anemone,wakame,blacksmith,black_surfperch,striped_surfperch,opaleye,garibaldi,senorita,kelp_bass,pile_perch,kelp_rockfish,blue_rockfish,olive_rockfish,California_sheephead_female,California_sheephead_male,rock_wrasse_female,rock_wrasse_male,wavy_turban_snail,warty_sea_cucumber,bat_star,giant_spined_sea_star,red_sea_urchin,purple_sea_urchin,rock_scallop,pink_abalone,green_abalone,red_abalone,Kellets_whelk,red_gorgonian,white_sea_urchin,giant_kelp,giant_keyhole_limpet,brown_gorgonian,sunflower_star,orange_puffball_sponge,red_turban_snail,California_golden_gorgonian,queen_tegula,total_benthic_biomass,total_biomass,richness_all,shannon_all,simpson
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,Outside,FALSE,3.5999999999999996,0.4,52.6,2.6,7.199999999999999,0.2,1,0.2,4.6,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.031901109153079,15.422207611760868,6.932256497769121,168.49633537663496,99.73034215494114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.6130427502592,304.6130427502592,8,1.1763944634163561,0.7529795918367347
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,Outside,FALSE,65.5,1,37.25,2.5,24.25,0,0.75,0.25,5.75,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.123962761799596,14.071395276994789,6.1051260263221945,175.49806103648157,99.55761686125285,7.762127159670067,0,0,16.622322269206624,1.8895097332832798,0,0,21.826444326728666,0,0,0,10.145794802905671,0,0,0,400.6023602546453,400.6023602546453,24,1.7809919903532696,0.7759122959639202
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,Outside,FALSE,12,2.1999999999999997,29.799999999999997,3.5999999999999996,37.8,1.6,2,0,9.4,0.2,0,14.2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.15437382670419,7.317333603164402,4.242219559099384,158.30888183882212,0,2.3102235969884672,0,0,4.388131484830793,5.345194073593118,0,0,42.12687576290323,0,0,0,9.828738715314868,0,0,0,316.02197246142055,316.02197246142055,24,1.9929287194499616,0.7546572176431277
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,Outside,FALSE,0.2,1,6.800000000000001,4.1000000000000005,44.5,1.0999999999999999,4.3999999999999995,1.0999999999999999,13.700000000000001,0.4,0.3,14.899999999999999,0.5,0.1,0,33.4,2.1999999999999997,0.5,0,9.4,0,0,0,0,0,25,0,50,0,0,0,0,0,0,0,0,0,0,0,700,0,522.2,0,0,6.6,13.4,0,0,0,0,30,3.4,56.800000000000004,3.4,0,0,0,0,0,109.25133180900993,7.480993696160219,3.6212507366917808,183.97537021552878,9.68079986374239,3.508189556188515,0,0,9.78287689677458,14.4737536082154,1.2284056723870544,0,76.60118098800001,0.3224327228763867,0,1.23831324973257,6.873775978968592,1.145423251642257,0,0,429.18409824591845,429.18409824591845,51,2.0761167896825214,0.820158646559265
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,Outside,FALSE,0.2,4.6,39.300000000000004,5.4,53.800000000000004,0.5,5.2,0.3,9.9,0.2,2.1999999999999997,5.800000000000001,53.7,0.2,0,0,0.7000000000000001,0.4,0,5.5,0.2,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,377.8,0,0,6.8,3.4,0,0,13.4,6.8,16.6,10,0,10,0,0,0,0,0,92.83891492605999,11.664352231258693,4.362132380664167,388.6799187155276,39.22333458140645,1.8295089439120746,0,0,24.920592414025855,7.471424922278448,1.0503624880335842,0,73.4348971125,0.12494661291483068,0,1.3514621677530323,4.939632943857993,1.1303765833722739,0,0,653.021857023565,653.021857023565,51,1.754324419299218,0.8157921018013906
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,Outside,FALSE,0.6,1.5,5.6000000000000005,3.4000000000000004,28.7,0.1,3.4000000000000004,1.3,12,0.1,1.7000000000000002,8.4,0,0,0,0.1,1.5,0.8999999999999999,0.4,13.900000000000002,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,388.79999999999995,0,3.4,33.4,0,0,0,333.4,0,3.4,26.8,66.6,10,3.4,0,0,0,0,65.91797268478722,12.288046352397052,3.918302561308815,202.16351246009617,8.652477864581517,0.7772275716869045,0,0,3.4991493729790726,19.890053173516417,1.3611321585722327,0,62.57101058315217,0.3224327228763867,0,0.22283732531276357,8.29729500952153,0.8329574076182309,0,0,390.7144072484065,390.7144072484065,51,2.0848634398961967,0.8239104179517114
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,Outside,FALSE,0.2,0.6,37.4,6.800000000000001,27.400000000000002,0,4.5,0.6,15.2,0.2,1.4000000000000001,11.5,73,0.2,0,0.1,0.8999999999999999,0.1,0.2,10.2,0,0,0,0,300,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,433.40000000000003,0,0,0,3.4,0,0,213.4,0,0,113.4,0,0,0,0,0,0,0,82.93038949732355,8.668058293837866,3.895902937552512,358.3145875994363,10.817686811567643,2.3933002227055202,0,0,27.092777821851666,9.058851964843074,0,0,71.00649443020833,0,0,1.9091246922824534,12.944926697519902,0.43425664901154926,0,0,589.4663576181404,589.4663576181404,51,2.0847007527928243,0.8467107489405997
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,Outside,FALSE,1.7999999999999998,1.2,76.4,10.299999999999999,25,1.3,5.5,0.4,13.5,0.1,2.4,19.3,2.3,0.3,0,0,1.3,0,2,17.7,0,0.4,0,0,250,0,0,200,0,0,0,0,0,0,0,0,0,0,0,1500,0,516.5999999999999,0,0,0,23.4,0,0,373.40000000000003,0,0,3.4,6.8,0,3.4,0,0,0,0,68.8478037499259,12.352312558901577,10.53967601770659,329.25638782656415,10.624752489504656,0.6824149003532478,0,0,15.046687183192653,7.555447266241309,0.19270380883107624,0,26.48106895875,0,0,0.7018736350455045,6.0755169022113105,0.6025973958073862,0,0,488.9592426930354,488.9592426930354,51,2.076197670887835,0.8364743798287011
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,Outside,FALSE,0.5,2.1,71.89999999999999,7.9,13.600000000000001,4.2,1.6,0.2,12.6,0,2.4,6.5,8.799999999999999,0,0,0,0.5,0.2,0.5,8.5,0.5,0,0,0,150,0,0,250,0,0,0,0,0,0,0,0,0,0,0,150,0,402.8,0,0,3.4,16.8,0,0,60,0,3.4,13.4,30,3.4,0,3.4,0,0,0,43.91078245421456,16.345285261878093,6.308114209248217,321.44293641081055,4.99786683638263,0,0,0,1.8137949826969921,9.414745549380383,1.0503624880335842,0.8802670123625159,61.35637959801587,0,0,1.0783583776425467,7.749380384087027,0.4947051561140288,0,0,476.842978720867,476.842978720867,52,1.8947500268589383,0.8092929161801893
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,Outside,FALSE,0.4,1.6,61.5,13.600000000000001,18.4,6.7,3.2,0.5,14.099999999999998,0,1.4000000000000001,14.7,1.0999999999999999,0.1,0.4,0.3,1.5,0.3,3.6999999999999997,10.299999999999999,0,0,0,0,900,0,0,50,0,0,0,0,0,0,0,0,0,0,0,150,0,477.8,0,0,16.6,0,0,0,20,0,0,0,66.60000000000001,20,6.6,3.4,0,0,0,47.123962761799596,14.754036877323008,2.571737171383732,117.7680297858632,2.5457043352256234,1.6767643258959384,0,0,29.07739825585941,10.136644207924503,1.3611321585722327,0,83.8874487015,0,0,6.380427464792727,12.709613838188956,0.9929549575881104,0,0,330.98585484191705,330.98585484191705,52,2.1493474483806825,0.8429989725468138
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,Outside,FALSE,1,4.7,53.2,14.499999999999998,31.7,6,1.5,1.3,9.9,0.2,0.8999999999999999,12.4,1.5,0,0,0,1.5,0.2,0.1,15.5,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,150,0,516.5999999999999,0,0,3.4,10,0,0,0,0,13.4,23.400000000000002,46.6,0,16.6,0,0,0,0,47.123962761799596,25.77560790535889,3.865501296444822,111.76002427968906,0,2.829452507720048,0,0,19.378014359591404,19.347593676855368,0,0,82.8944595610577,0,0.10946574659913748,0.3453754095011037,12.975148439367395,0.9576131465197657,0,0,327.3622190905043,327.3622190905043,52,1.8336740717576705,0.8611872484272338
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,Outside,FALSE,0.1,3.4000000000000004,67,16.7,26.5,10.6,1.4000000000000001,0.1,9.2,0.1,1.5,3.5999999999999996,14.399999999999999,0.6,1.5,0.4,1.6,0,1.0999999999999999,10.7,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,200,0,330.6,0,0,60.00000000000001,0,0,0,246.6,0,26.6,103.19999999999999,6.6,0,3.4,3.4,0,0,0,47.123962761799596,18.32289525356998,3.251745752727672,167.85842583752182,99.47125421440872,3.1237114144111233,0,0,2.5775786619563443,30.271526963353004,1.6608029123059294,0,59.39119766470588,0,0,3.6354407766302343,22.129897806522543,2.2589984455929586,0,0,461.0774384655058,461.0774384655058,54,2.0839936097059004,0.8795504415481614
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,Outside,FALSE,0.3,7.9,65.4,13.700000000000001,24.8,6.4,1.9,0,10.5,0.1,3.2,11.600000000000001,1.2,0,0,0,2.1,0,6.4,13.600000000000001,0,0,0,0,0,19.400000000000002,0,150,0,50,0,0,0,0,0,0,0,0,0,600,0,536.2,0,0,0,10,0,0,3.4,0,6.6,3.4,20,0,3.4,0,0,0,0,82.15437382670419,30.461309623939325,5.811385462455722,50.04908478685074,6.764163888865602,4.418292974558685,0,0,2.430715213103055,24.859912433956264,0,0.8802670123625159,45.565664874999996,0,0,0.7102694151242358,11.212603992312356,1.1641538493836778,0,0,266.48219735461635,266.48219735461635,54,2.0809331197800343,0.869221676398795
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,Outside,FALSE,1.5,11,80.80000000000001,18.3,46.9,19.3,1.9,0.7000000000000001,10.2,0,4.1000000000000005,8.5,31.7,0.2,0.6,0,0.5,0,0.6,5.5,0,0,0,0,0,2.8,0,300,0,0,0,0,0,0,0,0,0,0,0,300,0,358.4,0,0,23.400000000000002,6.8,0,0,203.4,0,13.4,23.4,13.4,0,0,0,0,0,0,35.44715907349808,12.797947873644064,0.6458550278475897,58.19702855724984,9.668025985830901,3.691372499534472,0,0,14.266868619126635,16.501406285003696,1.2057473233029086,0.8755157553738608,25.39545877155172,0,0,0.3000642512043967,7.51510549442886,1.0196735780020678,0,0,187.5272290955991,187.5272290955991,54,2.2218170873382905,0.8807389830225512
