SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,ReserveStatus,Reference,brown_algae,bladder_chain_kelp,red_algae,articulated_coralline_algae,encrusting_coralline_algae,sea_tongue,orange_cup_coral,La_Jolla_cup_coral,ornate_tube_worm,scaled_wormsnail,tunicates,Miscellaneous_Invertebrates_w_spiny_brittle_stars,acid_weed,green_algae,agar_weed,miscellaneous_plants,sponges,club_tipped_anemone,colonial_sand_tube_worm,bryozoans,Southern_staghorn_bryozoan,aggregated_red_sea_cucumber,spiny_brittle_star,Miscellaneous_Invertebrates_wo_spiny_brittle_stars,island_kelpfish,California_brown_sea_hare,Coronado_urchin,blackeye_goby,gumboot_chiton,chestnut_cowrie,Southern_sea_palm,threaded_abalone,white_abalone,oar_weed,blue_banded_goby,California_spiny_lobster,ochre_sea_star,California_sea_palm,devil_weed,stalked_tunicate,California_hydrocoral,white_spotted_rose_anemone,wakame,blacksmith,black_surfperch,striped_surfperch,opaleye,garibaldi,senorita,kelp_bass,pile_perch,kelp_rockfish,blue_rockfish,olive_rockfish,California_sheephead_female,California_sheephead_male,rock_wrasse_female,rock_wrasse_male,wavy_turban_snail,warty_sea_cucumber,bat_star,giant_spined_sea_star,red_sea_urchin,purple_sea_urchin,rock_scallop,pink_abalone,green_abalone,red_abalone,Kellets_whelk,red_gorgonian,white_sea_urchin,giant_kelp,giant_keyhole_limpet,brown_gorgonian,sunflower_star,orange_puffball_sponge,red_turban_snail,California_golden_gorgonian,queen_tegula,Shannon_Index,Simpson_Index
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,Outside,FALSE,3.5999999999999996,0.4,52.6,2.6,7.199999999999999,0.2,1,0.2,4.6,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.890484448339269,15.570038692663902,6.69392914814636,187.38134399868576,98.65452664370217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1779702209798726,0.7557463842975206
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,Outside,FALSE,65.5,1,37.25,2.5,24.25,0,0.75,0.25,5.75,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4596070780136,14.220849462217284,5.918671163252174,193.54431688051903,98.47805281717011,7.723460019807236,0,0,16.800783550735993,1.9797661243072882,0,0,22.422250259956094,0,0,0,10.256018734510128,0,0,0,1.7821641632788314,0.7780187074829932
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,Outside,FALSE,12,2.1999999999999997,29.799999999999997,3.5999999999999996,37.8,1.6,2,0,9.4,0.2,0,14.2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.9364482526865,7.474903309984203,4.1725946206977,178.41426888911167,0,2.283275742362945,0,0,4.569350140480842,5.412787103751213,0,0,42.12687576290323,0,0,0,9.935518149056687,0,0,0,1.9944101970801895,0.7569083969794703
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,Outside,FALSE,0.2,1,6.800000000000001,4.1000000000000005,44.5,1.0999999999999999,4.3999999999999995,1.0999999999999999,13.700000000000001,0.4,0.3,14.899999999999999,0.5,0.1,0,33.4,2.1999999999999997,0.5,0,9.4,0,0,0,0,0,25,0,50,0,0,0,0,0,0,0,0,0,0,0,700,0,522.2,0,0,6.6,13.4,0,0,0,0,30,3.4,56.800000000000004,3.4,0,0,0,0,0,109.25133180900993,7.480993696160219,3.5905691065128758,183.97537021552878,9.68079986374239,3.508189556188515,0,0,9.78287689677458,14.4737536082154,1.2284056723870544,0,76.60118098800001,0.3703730380461763,0,1.1313455410802864,6.948452692630611,1.145423251642257,0,0,2.0176791552977167,0.8215909364799256
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,Outside,FALSE,0.2,4.6,39.300000000000004,5.4,53.800000000000004,0.5,5.2,0.3,9.9,0.2,2.1999999999999997,5.800000000000001,53.7,0.2,0,0,0.7000000000000001,0.4,0,5.5,0.2,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,377.8,0,0,6.8,3.4,0,0,13.4,6.8,16.6,10,0,10,0,0,0,0,0,92.83891492605999,11.664352231258693,4.362132380664167,388.6799187155276,39.22333458140645,1.8295089439120746,0,0,24.920592414025855,7.471424922278448,1.1802418336258071,0,73.4348971125,0.12494661291483068,0,1.2410824844034463,4.939632943857993,1.1303765833722739,0,0,1.7299928403207803,0.8170462820053264
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,Outside,FALSE,0.6,1.5,5.6000000000000005,3.4000000000000004,28.7,0.1,3.4000000000000004,1.3,12,0.1,1.7000000000000002,8.4,0,0,0,0.1,1.5,0.8999999999999999,0.4,13.900000000000002,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,388.79999999999995,0,3.4,33.4,0,0,0,333.4,0,3.4,26.8,66.6,10,3.4,0,0,0,0,65.91797268478722,12.288046352397052,3.918302561308815,202.16351246009617,8.652477864581517,0.7772275716869045,0,0,3.4991493729790726,19.890053173516417,1.504993037376313,0,62.57101058315217,0.3703730380461763,0,0.22283732531276357,8.29729500952153,0.8329574076182309,0,0,1.932799091602731,0.8255987597323393
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,Outside,FALSE,0.2,0.6,37.4,6.800000000000001,27.400000000000002,0,4.5,0.6,15.2,0.2,1.4000000000000001,11.5,73,0.2,0,0.1,0.8999999999999999,0.1,0.2,10.2,0,0,0,0,300,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,433.40000000000003,0,0,0,3.4,0,0,213.4,0,0,113.4,0,0,0,0,0,0,0,82.93038949732355,8.668058293837866,3.895902937552512,358.3145875994363,10.817686811567643,2.3661737884954297,0,0,27.092777821851666,9.058851964843074,0,0,71.00649443020833,0,0,1.7819288479247342,12.944926697519902,0.43425664901154926,0,0,1.9930389692856512,0.847699684423077
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,Outside,FALSE,1.7999999999999998,1.2,76.4,10.299999999999999,25,1.3,5.5,0.4,13.5,0.1,2.4,19.3,2.3,0.3,0,0,1.3,0,2,17.7,0,0.4,0,0,250,0,0,200,0,0,0,0,0,0,0,0,0,0,0,1500,0,516.5999999999999,0,0,0,23.4,0,0,373.40000000000003,0,0,3.4,6.8,0,3.4,0,0,0,0,68.8478037499259,12.352312558901577,10.53967601770659,329.25638782656415,10.624752489504656,0.6824149003532478,0,0,15.046687183192653,7.555447266241309,0.19270380883107624,0,26.48106895875,0,0,0.7018736350455045,6.0755169022113105,0.6025973958073862,0,0,1.9919681953153023,0.8375737072313403
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,Outside,FALSE,0.5,2.1,71.89999999999999,7.9,13.600000000000001,4.2,1.6,0.2,12.6,0,2.4,6.5,8.799999999999999,0,0,0,0.5,0.2,0.5,8.5,0.5,0,0,0,150,0,0,250,0,0,0,0,0,0,0,0,0,0,0,150,0,402.8,0,0,3.4,16.8,0,0,60,0,3.4,13.4,30,3.4,0,3.4,0,0,0,43.91078245421456,16.345285261878093,6.308114209248217,321.44293641081055,4.99786683638263,0,0,0,1.8137949826969921,9.414745549380383,1.1802418336258071,0.8694873808149045,61.35637959801587,0,0,1.0783583776425467,7.749380384087027,0.4947051561140288,0,0,1.8377531644410017,0.8107930046068902
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,Outside,FALSE,0.4,1.6,61.5,13.600000000000001,18.4,6.7,3.2,0.5,14.099999999999998,0,1.4000000000000001,14.7,1.0999999999999999,0.1,0.4,0.3,1.5,0.3,3.6999999999999997,10.299999999999999,0,0,0,0,900,0,0,50,0,0,0,0,0,0,0,0,0,0,0,150,0,477.8,0,0,16.6,0,0,0,20,0,0,0,66.60000000000001,20,6.6,3.4,0,0,0,42.4596070780136,14.754036877323008,2.571737171383732,117.7680297858632,2.5457043352256234,1.651178140602751,0,0,29.07739825585941,10.136644207924503,1.504993037376313,0,83.8874487015,0,0,6.380427464792727,12.709613838188956,0.9929549575881104,0,0,2.079912932422809,0.844160496238088
