SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Date,ScientificName,CommonName,ReserveStatus,Reference,Count
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Alloclinus holderi,island kelpfish,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Artedius corallinus,coralline sculpin,Outside,FALSE,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Atherinops affinis,top smelt,Outside,FALSE,100
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Aulorhynchus flavidus,tubesnout,Outside,FALSE,237
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Brachyistius frenatus,kelp surfperch,Outside,FALSE,21
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Chromis punctipinnis,"blacksmith, adult",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Chromis punctipinnis,"blacksmith, juvenile",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Citharichthys stigmaeus,speckled sanddab,Outside,FALSE,12
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Coryphopterus nicholsi,blackeye goby,Outside,FALSE,12.333333333333334
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Cottidae,sculpin spp.,Outside,FALSE,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Embiotoca jacksoni,"black surfperch, adult",Outside,FALSE,1.3333333333333333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Embiotoca jacksoni,"black surfperch, juvenile",Outside,FALSE,3.6666666666666665
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Embiotoca lateralis,"striped surfperch, adult",Outside,FALSE,8
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Embiotoca lateralis,"striped surfperch, juvenile",Outside,FALSE,4.333333333333333
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Gibbonsia,kelpfish spp.,Outside,FALSE,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Girella nigricans,"opaleye, adult",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Girella nigricans,"opaleye, juvenile",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Halichoeres semicinctus,"rock wrasse, female",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Halichoeres semicinctus,"rock wrasse, male",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Hypsurus caryi,rainbow surfperch,Outside,FALSE,4
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Hypsypops rubicundus,"garibaldi, adult",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Hypsypops rubicundus,"garibaldi, juvenile",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Lythrypnus dalli,blue-banded goby,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Ophiodon elongatus,"lingcod, adult",Outside,FALSE,2
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Orthonopias triacis,snubnose sculpin,Outside,FALSE,2
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Oxyjulis californica,"senorita, adult",Outside,FALSE,3
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Oxyjulis californica,"senorita, juvenile",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Oxylebius pictus,painted greenling,Outside,FALSE,20.666666666666668
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Paralabrax clathratus,"kelp bass, adult",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Paralabrax clathratus,"kelp bass, juvenile",Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,2004-09-29,Rhacochilus toxotes,rubberlip surfperch,Outside,FALSE,1
