SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Species,ScientificName,CommonName,ReserveStatus,Reference,Date,Area_Surveyed,Total_Count,Percent_Cover,SD,SE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,2001,Phaeophyta,brown algae (miscellaneous),Outside,FALSE,1982-08-18,500,18,3.5999999999999996,1.0214,0.0457
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,2007,Cystoseira,bladder chain kelp,Outside,FALSE,1982-08-18,500,2,0.4,0.4,0.0179
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,3001,Rhodophyta,red algae (miscellaneous),Outside,FALSE,1982-08-18,500,263,52.6,4.6826,0.2094
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,3002,articulated coralline algae,articulated coralline algae,Outside,FALSE,1982-08-18,500,13,2.6,1.1944,0.0534
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,3003,encrusting coralline algae,encrusting coralline algae,Outside,FALSE,1982-08-18,500,36,7.199999999999999,2.2561,0.1009
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,3005,Gigartina,sea tongue,Outside,FALSE,1982-08-18,500,1,0.2,0.2,0.0089
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,6004,Balanophyllia elegans,orange cup coral,Outside,FALSE,1982-08-18,500,5,1,0.4082,0.0183
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,6005,Astrangia lajollaensis,La Jolla cup coral,Outside,FALSE,1982-08-18,500,1,0.2,0.2,0.0089
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,7001,Diopatra ornata,ornate tube worm,Outside,FALSE,1982-08-18,500,23,4.6,1.1518,0.0515
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,9001,Serpulorbis squamigerus,scaled wormsnail,Outside,FALSE,1982-08-18,500,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,12001,Tunicata,tunicates,Outside,FALSE,1982-08-18,500,13,2.6,1.0847,0.0485
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,15002,Rock,Rock,Outside,FALSE,1982-08-18,500,313,62.6,6.7892,0.3036
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,15003,Cobble,Cobble,Outside,FALSE,1982-08-18,500,62,12.4,4.5746,0.2046
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,15004,Sand,Sand,Outside,FALSE,1982-08-18,500,125,25,5.902,0.2639
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,2001,Phaeophyta,brown algae (miscellaneous),Outside,FALSE,1983-07-26,400,262,65.5,2.1461,0.1073
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,2007,Cystoseira,bladder chain kelp,Outside,FALSE,1983-07-26,400,4,1,0.4411,0.0221
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,3001,Rhodophyta,red algae (miscellaneous),Outside,FALSE,1983-07-26,400,149,37.25,3.3029,0.1651
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,3002,articulated coralline algae,articulated coralline algae,Outside,FALSE,1983-07-26,400,10,2.5,0.8567,0.0428
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,3003,encrusting coralline algae,encrusting coralline algae,Outside,FALSE,1983-07-26,400,97,24.25,2.3033,0.1152
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,3005,Gigartina,sea tongue,Outside,FALSE,1983-07-26,400,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,6004,Balanophyllia elegans,orange cup coral,Outside,FALSE,1983-07-26,400,3,0.75,0.3099,0.0155
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,6005,Astrangia lajollaensis,La Jolla cup coral,Outside,FALSE,1983-07-26,400,1,0.25,0.1857,0.0093
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,7001,Diopatra ornata,ornate tube worm,Outside,FALSE,1983-07-26,400,23,5.75,1.0135,0.0507
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,9001,Serpulorbis squamigerus,scaled wormsnail,Outside,FALSE,1983-07-26,400,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,13001,Miscellaneous Invertebrates including Ophiothrix spiculata,Miscellaneous Invertebrates including Ophiothrix spiculata,Outside,FALSE,1983-07-26,400,2,0.5,0.2579,0.0129
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,15002,Rock,Rock,Outside,FALSE,1983-07-26,400,231,57.75,3.0993,0.155
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,15003,Cobble,Cobble,Outside,FALSE,1983-07-26,400,48,12,2.7938,0.1397
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,15004,Sand,Sand,Outside,FALSE,1983-07-26,400,6,1.5,0.5593,0.028
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,2001,Phaeophyta,brown algae (miscellaneous),Outside,FALSE,1984-07-12,500,60,12,5.8878,0.2633
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,2003,Desmarestia,acid weed,Outside,FALSE,1984-07-12,500,8,1.6,2.201,0.0984
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,2007,Cystoseira,bladder chain kelp,Outside,FALSE,1984-07-12,500,11,2.1999999999999997,2.2336,0.0999
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,3001,Rhodophyta,red algae (miscellaneous),Outside,FALSE,1984-07-12,500,149,29.799999999999997,12.0227,0.5377
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,3002,articulated coralline algae,articulated coralline algae,Outside,FALSE,1984-07-12,500,18,3.5999999999999996,2.1499,0.0961
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,3003,encrusting coralline algae,encrusting coralline algae,Outside,FALSE,1984-07-12,500,189,37.8,9.024,0.4036
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,3005,Gigartina,sea tongue,Outside,FALSE,1984-07-12,500,8,1.6,2.201,0.0984
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,6004,Balanophyllia elegans,orange cup coral,Outside,FALSE,1984-07-12,500,10,2,1.7638,0.0789
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,6005,Astrangia lajollaensis,La Jolla cup coral,Outside,FALSE,1984-07-12,500,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,7001,Diopatra ornata,ornate tube worm,Outside,FALSE,1984-07-12,500,47,9.4,4.4485,0.1989
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,9001,Serpulorbis squamigerus,scaled wormsnail,Outside,FALSE,1984-07-12,500,1,0.2,0.3162,0.0141
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,13001,Miscellaneous Invertebrates including Ophiothrix spiculata,Miscellaneous Invertebrates including Ophiothrix spiculata,Outside,FALSE,1984-07-12,500,71,14.2,3.8427,0.1719
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,15002,Rock,Rock,Outside,FALSE,1984-07-12,500,460,92,6.8799,0.3077
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,15003,Cobble,Cobble,Outside,FALSE,1984-07-12,500,13,2.6,3.199,0.1431
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,15004,Sand,Sand,Outside,FALSE,1984-07-12,500,27,5.4,5.6382,0.2521
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1001,Chlorophyta,green algae,Outside,FALSE,1985-06-26,1000,1,0.1,0.2,0.0063
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,2001,Phaeophyta,brown algae (miscellaneous),Outside,FALSE,1985-06-26,1000,2,0.2,0.2769,0.0088
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,2003,Desmarestia,acid weed,Outside,FALSE,1985-06-26,1000,5,0.5,0.6455,0.0204
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,2007,Cystoseira,bladder chain kelp,Outside,FALSE,1985-06-26,1000,10,1,0.7638,0.0242
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,2014,Laminaria farlowii,"oar weed, all",Outside,FALSE,1985-06-26,1000,1,0.1,0.2,0.0063
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,3001,Rhodophyta,red algae (miscellaneous),Outside,FALSE,1985-06-26,1000,68,6.800000000000001,4.3734,0.1383
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,3002,articulated coralline algae,articulated coralline algae,Outside,FALSE,1985-06-26,1000,41,4.1000000000000005,2.4474,0.0774
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,3003,encrusting coralline algae,encrusting coralline algae,Outside,FALSE,1985-06-26,1000,445,44.5,7.3258,0.2317
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,3004,Gelidium,agar weed,Outside,FALSE,1985-06-26,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,3005,Gigartina,sea tongue,Outside,FALSE,1985-06-26,1000,11,1.0999999999999999,1.2936,0.0409
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,4001,Plantae,miscellaneous plants (ie: diatoms),Outside,FALSE,1985-06-26,1000,334,33.4,4.1521,0.1313
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,5001,Porifera,sponges,Outside,FALSE,1985-06-26,1000,22,2.1999999999999997,1.6155,0.0511
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,6003,Corynactis californicus,club-tipped anemone,Outside,FALSE,1985-06-26,1000,5,0.5,0.8165,0.0258
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,6004,Balanophyllia elegans,orange cup coral,Outside,FALSE,1985-06-26,1000,44,4.3999999999999995,1.2342,0.039
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,6005,Astrangia lajollaensis,La Jolla cup coral,Outside,FALSE,1985-06-26,1000,11,1.0999999999999999,0.8699,0.0275
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,7001,Diopatra ornata,ornate tube worm,Outside,FALSE,1985-06-26,1000,137,13.700000000000001,5.5537,0.1756
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,7002,Phragmatopoma californica,colonial sand-tube worm,Outside,FALSE,1985-06-26,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,9001,Serpulorbis squamigerus,scaled wormsnail,Outside,FALSE,1985-06-26,1000,4,0.4,0.3742,0.0118
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,10001,Bryozoa,bryozoans (miscellaneous),Outside,FALSE,1985-06-26,1000,94,9.4,2.5047,0.0792
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,10002,Diaperoecia californica,Southern staghorn bryozoan,Outside,FALSE,1985-06-26,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,12001,Tunicata,tunicates,Outside,FALSE,1985-06-26,1000,3,0.3,0.3317,0.0105
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,13001,Miscellaneous Invertebrates including Ophiothrix spiculata,Miscellaneous Invertebrates including Ophiothrix spiculata,Outside,FALSE,1985-06-26,1000,149,14.899999999999999,3.7135,0.1174
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,15001,Bare Substrate,Bare Substrate,Outside,FALSE,1985-06-26,1000,81,8.1,4.196,0.1327
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,15002,Rock,Rock,Outside,FALSE,1985-06-26,1000,840,84,6.9162,0.2187
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,15003,Cobble,Cobble,Outside,FALSE,1985-06-26,1000,49,4.9,3.9526,0.125
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,15004,Sand,Sand,Outside,FALSE,1985-06-26,1000,111,11.1,4.857,0.1536
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1001,Chlorophyta,green algae,Outside,FALSE,1986-07-09,1000,2,0.2,0.4,0.0126
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,2001,Phaeophyta,brown algae (miscellaneous),Outside,FALSE,1986-07-09,1000,2,0.2,0.2769,0.0088
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,2003,Desmarestia,acid weed,Outside,FALSE,1986-07-09,1000,537,53.7,14.8776,0.4705
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,2007,Cystoseira,bladder chain kelp,Outside,FALSE,1986-07-09,1000,46,4.6,2.9394,0.093
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,2014,Laminaria farlowii,"oar weed, all",Outside,FALSE,1986-07-09,1000,3,0.3,0.3317,0.0105
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,3001,Rhodophyta,red algae (miscellaneous),Outside,FALSE,1986-07-09,1000,393,39.300000000000004,8.7489,0.2767
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,3002,articulated coralline algae,articulated coralline algae,Outside,FALSE,1986-07-09,1000,54,5.4,2.4269,0.0767
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,3003,encrusting coralline algae,encrusting coralline algae,Outside,FALSE,1986-07-09,1000,538,53.800000000000004,6.5582,0.2074
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,3004,Gelidium,agar weed,Outside,FALSE,1986-07-09,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,3005,Gigartina,sea tongue,Outside,FALSE,1986-07-09,1000,5,0.5,0.5774,0.0183
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,4001,Plantae,miscellaneous plants (ie: diatoms),Outside,FALSE,1986-07-09,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,5001,Porifera,sponges,Outside,FALSE,1986-07-09,1000,7,0.7000000000000001,0.8426,0.0266
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,6003,Corynactis californicus,club-tipped anemone,Outside,FALSE,1986-07-09,1000,4,0.4,0.6245,0.0197
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,6004,Balanophyllia elegans,orange cup coral,Outside,FALSE,1986-07-09,1000,52,5.2,2.1779,0.0689
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,6005,Astrangia lajollaensis,La Jolla cup coral,Outside,FALSE,1986-07-09,1000,3,0.3,0.4397,0.0139
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,7001,Diopatra ornata,ornate tube worm,Outside,FALSE,1986-07-09,1000,99,9.9,4.0154,0.127
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,7002,Phragmatopoma californica,colonial sand-tube worm,Outside,FALSE,1986-07-09,1000,0,0,0,0
