word,n,Year
a density of,3022,All Years
santa cruz island,2356,All Years
kelp forest monitoring,2269,All Years
similar to last,2257,All Years
to last year,2255,All Years
at this site,1932,All Years
size frequency distributions,1761,All Years
with a density,1661,All Years
roving diver fish,1628,All Years
channel islands national,1582,All Years
islands national park,1501,All Years
santa barbara island,1437,All Years
santa rosa island,1431,All Years
a cover of,1370,All Years
mean std dev,1307,All Years
at the site,1246,All Years
of the bottom,1226,All Years
of the transect,1215,All Years
number of arms,1206,All Years
to past years,1138,All Years
similar to past,1127,All Years
diver fish count,1060,All Years
with up to,1003,All Years
in the arms,979,All Years
were common with,958,All Years
along the transect,944,All Years
to recent years,934,All Years
mean number per,922,All Years
std dev n,921,All Years
data mean number,914,All Years
similar to recent,904,All Years
san miguel island,863,All Years
natural habitat size,850,All Years
for this site,839,All Years
m similar to,839,All Years
with a cover,835,All Years
were observed on,831,All Years
habitat size frequency,828,All Years
observed at the,813,All Years
frequency distributions santa,809,All Years
species mean std,790,All Years
macrocystis pyrifera adult,772,All Years
were moderately abundant,745,All Years
from last year,743,All Years
miscellaneous red algae,741,All Years
were observed at,712,All Years
technical report chis,699,All Years
than last year,692,All Years
encrusting coralline algae,689,All Years
semicossyphus pulcher female,662,All Years
mature kelp forest,655,All Years
common with a,638,All Years
articulated coralline algae,632,All Years
chromis punctipinnis adult,629,All Years
oxyjulis californica adult,617,All Years
semicossyphus pulcher male,615,All Years
recorded at this,613,All Years
wasting disease was,613,All Years
transect data mean,601,All Years
was not observed,600,All Years
disease was observed,595,All Years
girella nigricans adult,580,All Years
abundant with a,578,All Years
miscellaneous brown algae,577,All Years
mean size of,573,All Years
sebastes mystinus juvenile,570,All Years
embiotoca jacksoni adult,568,All Years
paralabrax clathratus adult,566,All Years
at a density,565,All Years
park kelp forest,564,All Years
sebastes atrovirens adult,564,All Years
sebastes mystinus adult,562,All Years
diver fish counts,559,All Years
sebastes serranoides adult,558,All Years
chromis punctipinnis juvenile,556,All Years
hypsypops rubicundus adult,556,All Years
embiotoca jacksoni juvenile,555,All Years
embiotoca lateralis adult,555,All Years
national park kelp,555,All Years
embiotoca lateralis juvenile,548,All Years
oxyjulis californica juvenile,546,All Years
sebastes atrovirens juvenile,543,All Years
paralabrax clathratus juvenile,537,All Years
halichoeres semicinctus male,536,All Years
the highest recorded,535,All Years
hypsypops rubicundus juvenile,534,All Years
halichoeres semicinctus female,532,All Years
sebastes serranoides juvenile,532,All Years
girella nigricans juvenile,531,All Years
adult and juvenile,522,All Years
most of the,521,All Years
observed on rpcs,520,All Years
was similar to,506,All Years
similar to the,505,All Years
black and yellow,503,All Years
were rare with,499,All Years
to previous years,494,All Years
dominated by strongylocentrotus,488,All Years
macrocystis pyrifera ad,488,All Years
pyrifera ad 1m,488,All Years
dev n santa,481,All Years
observed up to,478,All Years
last year at,477,All Years
semicossyphus pulcher juvenile,474,All Years
algae cover was,471,All Years
similar to previous,469,All Years
had a density,467,All Years
on band transects,453,All Years
artificial recruitment modules,447,All Years
end of the,447,All Years
and yellow rockfish,444,All Years
black surfperch all,444,All Years
black surfperch adult,442,All Years
gull island south,438,All Years
blue rockfish all,436,All Years
kelp bass adult,435,All Years
kelp rockfish all,435,All Years
kelp rockfish adult,434,All Years
excluding ophiothrix spiculata,427,All Years
macrocystis pyrifera juvenile,424,All Years
fish transect data,423,All Years
olive rockfish all,422,All Years
distributions santa cruz,419,All Years
with a mean,418,All Years
random point contact,415,All Years
common name date,412,All Years
olive rockfish adult,412,All Years
island johnson's lee,411,All Years
rosa island johnson's,411,All Years
sea urchin wasting,404,All Years
with densities of,404,All Years
max width cm,401,All Years
min width cm,401,All Years
blue rockfish adult,399,All Years
a mean size,397,All Years
avg st dev,396,All Years
miscellaneous invertebrates excluding,395,All Years
blue rockfish juvenile,391,All Years
invertebrates excluding ophiothrix,391,All Years
macrocystis pyrifera subadult,387,All Years
std dev cases,385,All Years
sea star wasting,384,All Years
star wasting disease,384,All Years
not observed on,381,All Years
were abundant with,381,All Years
of arms sampled,380,All Years
temperature loggers were,380,All Years
were not observed,380,All Years
were common and,377,All Years
rock wrasse male,376,All Years
rock wrasse female,373,All Years
striped surfperch all,372,All Years
striped surfperch adult,371,All Years
none were observed,369,All Years
point contact data,369,All Years
blue banded goby,368,All Years
eisenia arborea adult,366,All Years
observed in the,366,All Years
pisaster giganteus were,364,All Years
pterygophora californica adult,363,All Years
olive yellowtail rockfish,362,All Years
the most common,359,All Years
laminaria farlowii adult,356,All Years
were observed one,356,All Years
damalichthys vacca adult,355,All Years
eisenia arborea juvenile,355,All Years
laminaria farlowii juvenile,355,All Years
the roving diver,355,All Years
pterygophora californica juvenile,354,All Years
urchin wasting disease,354,All Years
damalichthys vacca juvenile,352,All Years
the temperature loggers,352,All Years
m2 similar to,351,All Years
was recorded at,350,All Years
sp ,348,All Years
moderately abundant with,338,All Years
not observed at,335,All Years
continued to be,332,All Years
black surfperch juvenile,330,All Years
semicossyphus pulcher were,330,All Years
bass calico bass,323,All Years
calico bass all,323,All Years
kelp bass calico,323,All Years
pile surfperch adult,323,All Years
pile surfperch all,323,All Years
were observed in,321,All Years
number per transect,320,All Years
the kelp forest,319,All Years
and s purpuratus,315,All Years
quadrat data mean,314,All Years
mean percent cover,312,All Years
common with up,311,All Years
the most abundant,311,All Years
were present at,310,All Years
rare with a,306,All Years
fish counts were,305,All Years
data mean percent,303,All Years
kelp rockfish juvenile,303,All Years
macrocystis pyrifera all,303,All Years
recruitment modules size,303,All Years
contact data mean,302,All Years
number per m,301,All Years
last year and,299,All Years
sargassum horneri adult,298,All Years
sargassum horneri juvenile,298,All Years
s purpuratus and,295,All Years
kelp bass juvenile,288,All Years
pile surfperch juvenile,288,All Years
modules size frequency,287,All Years
were observed during,287,All Years
observed on quadrats,283,All Years
a decrease from,282,All Years
s purpuratus were,282,All Years
were relatively abundant,281,All Years
abundance common name,280,All Years
counts were conducted,280,All Years
score avg count,280,All Years
california sheephead male,279,All Years
strongylocentrotus franciscanus density,277,All Years
fish count santa,275,All Years
abundant with up,272,All Years
coralline algae cover,272,All Years
no sea star,269,All Years
date mean std,267,All Years
striped surfperch juvenile,267,All Years
dev avg st,264,All Years
sea lion rookery,264,All Years
st dev avg,264,All Years
loggers were retrieved,262,All Years
purpuratus and s,262,All Years
since monitoring began,261,All Years
were observed up,259,All Years
had a cover,257,All Years
island gull island,257,All Years
retrieved and deployed,256,All Years
rhacochilus vacca adult,255,All Years
was moderately abundant,255,All Years
were conducted on,253,All Years
bare substrate cover,252,All Years
and s franciscanus,250,All Years
for size frequencies,247,All Years
cover species mean,246,All Years
distributions anacapa island,246,All Years
frequency distributions anacapa,246,All Years
percent cover species,246,All Years
observed on band,245,All Years
the highest density,245,All Years
all of the,244,All Years
cruz island gull,244,All Years
were retrieved and,244,All Years
sites this year,241,All Years
were present with,240,All Years
strongylocentrotus purpuratus density,239,All Years
were common at,238,All Years
the transect and,237,All Years
franciscanus and s,236,All Years
the lowest recorded,236,All Years
by strongylocentrotus purpuratus,235,All Years
chromis punctipinnis were,234,All Years
was observed at,233,All Years
found in the,232,All Years
observed during sampling,232,All Years
spp were observed,229,All Years
decrease from last,227,All Years
oxyjulis californica were,227,All Years
and had a,226,All Years
last year with,226,All Years
californica were common,225,All Years
maximum of of,225,All Years
remained similar to,225,All Years
size frequency measurements,224,All Years
and deployed and,223,All Years
laminaria farlowii all,222,All Years
pterygophora californica all,222,All Years
pyrifera juvenile 1m,222,All Years
eisenia arborea all,221,All Years
miscellaneous plants ie,221,All Years
number of stipes,221,All Years
observed during the,221,All Years
plants ie diatoms,221,All Years
arm similar to,214,All Years
distributions santa rosa,214,All Years
pulcher were observed,213,All Years
black sea bass,212,All Years
johnson's lee south,212,All Years
quadrats with densities,212,All Years
california sheephead female,211,All Years
deployed and all,210,All Years
johnson's lee north,210,All Years
lytechinus anamesus were,208,All Years
one of the,207,All Years
strongylocentrotus purpuratus and,207,All Years
this site since,207,All Years
consisted mostly of,206,All Years
not observed during,206,All Years
m the highest,203,All Years
1m number of,202,All Years
abundant than last,202,All Years
by s purpuratus,202,All Years
observed similar to,202,All Years
oxylebius pictus were,201,All Years
date observers observations,200,All Years
fish size frequency,200,All Years
macrocystis pyrifera stipes,200,All Years
patiria miniata were,200,All Years
centrostephanus coronatus were,199,All Years
pyrifera stipes for,198,All Years
less abundant than,197,All Years
and one juvenile,196,All Years
data were downloaded,196,All Years
rhacochilus vacca juvenile,196,All Years
were counted on,195,All Years
were downloaded successfully,195,All Years
californica size frequency,194,All Years
more abundant than,194,All Years
all temperature data,193,All Years
label mean std,193,All Years
value label mean,193,All Years
variable value label,193,All Years
during the roving,192,All Years
strongylocentrotus franciscanus strongylocentrotus,192,All Years
number per m2,191,All Years
abundant and diverse,190,All Years
of fish and,189,All Years
coryphopterus nicholsii were,188,All Years
highest recorded at,188,All Years
paralabrax clathratus were,187,All Years
to the past,187,All Years
and all temperature,186,All Years
gorgonian stylaster californica,186,All Years
stylaster californica size,186,All Years
temperature data were,186,All Years
most common miscellaneous,185,All Years
size frequencies location,185,All Years
this is the,184,All Years
and up to,183,All Years
max height cm,183,All Years
min height cm,183,All Years
strongylocentrotus franciscanus and,181,All Years
no sea urchin,180,All Years
was observed on,180,All Years
were abundant and,180,All Years
count page f,179,All Years
fish count page,179,All Years
for the second,179,All Years
and none were,177,All Years
highest density recorded,177,All Years
avg count stdev,176,All Years
avg score stdev,176,All Years
band transect data,176,All Years
continued to decline,176,All Years
count stdev count,176,All Years
observed along the,176,All Years
score stdev score,176,All Years
stdev score avg,176,All Years
pycnopodia helianthoides were,175,All Years
m quadrats and,174,All Years
present at a,174,All Years
southeast sea lion,173,All Years
for a density,172,All Years
s franciscanus and,172,All Years
east fish camp,171,All Years
pyrifera adult 1m,170,All Years
were the most,170,All Years
sri johnsons lee,169,All Years
were rare and,169,All Years
hypsypops rubicundus were,168,All Years
was common with,168,All Years
coralline algae were,166,All Years
observed this year,166,All Years
for plants 1m,165,All Years
halichoeres semicinctus were,165,All Years
moderately abundant at,165,All Years
stipes for plants,165,All Years
most abundant fish,164,All Years
ophiothrix spiculata cover,164,All Years
to the last,164,All Years
juvenile m pyrifera,163,All Years
moderately abundant and,163,All Years
of stipes macrocystis,163,All Years
stipes macrocystis pyrifera,163,All Years
a mean of,162,All Years
an increase from,162,All Years
dominated by s,161,All Years
aplysia californica were,160,All Years
megathura crenulata were,160,All Years
all indicator species,159,All Years
the first time,159,All Years
were found in,159,All Years
were observed with,159,All Years
abundant on the,158,All Years
n santa cruz,158,All Years
of of stdev,157,All Years
sea bass reef,156,All Years
side of the,156,All Years
species of fish,156,All Years
anacapa island admiral's,154,All Years
was common at,154,All Years
at santa barbara,153,All Years
rockfish were observed,152,All Years
substrate cover was,152,All Years
was observed one,152,All Years
island fry's harbor,151,All Years
cypraea spadicea density,149,All Years
kelletia kelletii were,149,All Years
m and up,149,All Years
past several years,149,All Years
cruz island fry's,148,All Years
franciscanus strongylocentrotus purpuratus,148,All Years
frequency distributions page,148,All Years
island admiral's reef,147,All Years
parastichopus parvimensis density,147,All Years
continued to increase,146,All Years
by strongylocentrotus spp,145,All Years
density continued to,145,All Years
site similar to,145,All Years
common on the,144,All Years
fish and game,144,All Years
other brown algae,144,All Years
sebastes serriceps were,144,All Years
in recent years,143,All Years
observed one adult,142,All Years
were common in,142,All Years
m respectively and,141,All Years
crassedoma giganteum density,140,All Years
parastichopus parvimensis were,140,All Years
present with up,140,All Years
californica were observed,139,All Years
san clemente island,139,All Years
distributions page g,138,All Years
increase from last,138,All Years
were common on,138,All Years
were observed no,138,All Years
distributions santa barbara,137,All Years
the past several,137,All Years
there was a,137,All Years
for all indicator,136,All Years
the bottom respectively,135,All Years
i.e diatom film,134,All Years
in this category,134,All Years
plant i.e diatom,134,All Years
sebastes atrovirens were,134,All Years
the transect with,134,All Years
and no juveniles,133,All Years
of s purpuratus,133,All Years
present at the,133,All Years
was rare with,133,All Years
with none observed,133,All Years
abundance count common,132,All Years
count common name,132,All Years
invertebrates w o,132,All Years
max of of,132,All Years
misc plant i.e,132,All Years
miscellaneous invertebrates w,132,All Years
name date observers,132,All Years
o ophiothrix spiculata,132,All Years
observations avg st,132,All Years
observers observations avg,132,All Years
of of score,132,All Years
of score abundance,132,All Years
pyrifera juvenile juvenile,132,All Years
score abundance count,132,All Years
w o ophiothrix,132,All Years
year sampling began,132,All Years
as last year,131,All Years
s franciscanus were,131,All Years
this site and,131,All Years
anacapa island landing,130,All Years
island landing cove,130,All Years
island yellow banks,130,All Years
observed roving diver,130,All Years
abundant in the,129,All Years
annual report technical,129,All Years
counted on both,128,All Years
cruz island yellow,128,All Years
and was recorded,127,All Years
cruz island pelican,126,All Years
embiotoca jacksoni were,126,All Years
island pelican bay,126,All Years
forest monitoring program,125,All Years
abundance stdev abundance,123,All Years
avg abundance stdev,123,All Years
date avg score,123,All Years
kushner et al,123,All Years
last year but,123,All Years
maximum of observers,123,All Years
method general search,123,All Years
name date avg,123,All Years
observations avg abundance,123,All Years
observers of observations,123,All Years
of observations avg,123,All Years
of observers of,123,All Years
patiria miniata density,123,All Years
red algae cover,123,All Years
search method general,123,All Years
stdev abundance common,123,All Years
we have observed,123,All Years
island scorpion anchorage,122,All Years
johnson’s lee north,122,All Years
on both quadrats,122,All Years
were more abundant,122,All Years
anacapa island cathedral,121,All Years
macrocystis pyrifera size,121,All Years
half of the,120,All Years
kelp forest with,120,All Years
species date mean,120,All Years
usual for this,120,All Years
common in the,119,All Years
many of the,119,All Years
national park service,119,All Years
continued maximum of,118,All Years
was rare and,118,All Years
1m holdfast diameters,117,All Years
ad 1m holdfast,117,All Years
ad 1m number,117,All Years
sc sc sc,117,All Years
for the third,116,All Years
report technical report,116,All Years
chrysomelas black and,115,All Years
directly along the,115,All Years
last year the,115,All Years
of filamentous diatoms,115,All Years
and consisted mostly,114,All Years
common miscellaneous invertebrates,114,All Years
girella nigricans were,114,All Years
m2 species mean,114,All Years
sebastes chrysomelas black,114,All Years
island cathedral cove,113,All Years
last several years,113,All Years
per m2 species,113,All Years
