SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,CommonName,ScientificName,ReserveStatus,Reference,Mean_Density
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0033
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0.0267
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"opaleye, adult",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0.015
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"senorita, adult",Oxyjulis californica,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.0067
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0
