SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Dim 1,Dim 2,Dim 3,Type,ReserveStatus,Reference
1,SM,San Miguel Island,WL,Wyckoff Ledge,1982,-0.24926533589159305,-0.0934406696973705,-0.0799113518846372,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1983,-0.2967450735363192,-0.05209837649664815,-0.22545935279592483,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1984,-0.3688871616736148,-0.08831137175031767,-0.22179609498501102,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,-0.4203559240510564,-0.08464331806763842,-0.20822203404615655,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,-0.4232203043058705,-0.08718629210995278,-0.21364869994350008,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,-0.4306842822875148,-0.08952596990335669,-0.2160834898012855,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,-0.39102830300360414,-0.08959767118677277,-0.2510243311725955,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,-0.38073541383328025,-0.0846034053070554,-0.2569076634766223,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,-0.43813462005661663,1.625457290566801e-4,-0.03675436247843738,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,-0.3980507414734097,-0.08603038786713577,-0.2509723713155294,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,-0.3623153500078425,-0.08334253297893597,-0.2749775945248978,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,-0.36716020993344317,-0.08176671341448026,-0.23742357533971586,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,-0.3935465984147143,-0.017555596071002547,-0.09476463258114806,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,-0.37166954622271176,-0.012257255647385676,-0.08362209206311945,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,-0.3081458993255105,-0.07613393069589075,-0.25899962260530085,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,-0.3531853751806576,-0.023925220175509916,-0.1153918066382326,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,-0.314919420742771,-0.08294165152258254,-0.26097976174821436,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1999,-0.3238979227487584,-0.0754435207147445,-0.2594256604605377,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2000,-0.3660880030761402,-0.0021025388956155597,-0.08678750709631651,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2001,-0.41163634789558107,0.005365392230465245,-0.06434764275266489,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,-0.2412984360085041,-0.06801770682757946,-0.279543481711555,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2003,0.13447118497636945,0.06973486501264338,-0.35020331643041785,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2004,0.11463878672989597,0.12757963625441926,-0.36188122220997276,3D_All,Outside,FALSE
1,SM,San Miguel Island,WL,Wyckoff Ledge,2005,0.158055141925123,0.1465554101840216,-0.37288044470282317,3D_All,Outside,FALSE
