SiteCode,SiteName,IslandCode,IslandName,SurveyYear,ReserveStatus,articulated coralline algae,Astrangia lajollaensis,Balanophyllia elegans,Bare Substrate,Bryozoa,Chlorophyta,Cobble,Corynactis californicus,Cystoseira,Desmarestia,Diaperoecia californica,Diopatra ornata,Eisenia arborea,encrusting coralline algae,Gelidium,Gigartina,Laminaria farlowii,Macrocystis pyrifera,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Ophiothrix spiculata,Pachythyone rubra,Phaeophyta,Phragmatopoma californica,Plantae,Porifera,Pterygophora californica,Rhodophyta,Rock,Sand,Sargassum horneri,Serpulorbis squamigerus,Tunicata
AP,Arch Point,SB,Santa Barbara Island,2005,Outside,0.6667,0,0,27.6667,1,0,17.8333,3.3333,0,0,0.1667,0,0,48.3333,0,0,0,0,8.5,0,0,0.3333,0,1,0,0,14.6667,79,3.1667,0,0,0.3333
AP,Arch Point,SB,Santa Barbara Island,2006,Outside,0.6667,0.1667,0,20.8333,1,0.1667,18.5,1.6667,0,0,0.1667,0,0,58.1667,0,0,0,0,6.8333,0,0,0,0.1667,0.6667,0.1667,0,13.3333,81,0.5,0,0,0.1667
AP,Arch Point,SB,Santa Barbara Island,2007,Outside,0.5,1.1667,0,13.1667,0.6667,0.8333,6.3333,2.3333,0,0,0,0.3333,0,76.6667,0,0,0,0,14.5,0,0,0.1667,0,7.6667,0,0,24.1667,92.8333,0.8333,0,0.1667,0
AP,Arch Point,SB,Santa Barbara Island,2008,Outside,0,0.3333,0,20.5,0.1667,0,11.3333,6.6667,0,0,0,0,0,45,0,0,0,0,7.3333,0,0,0,0,5.8333,0.1667,0,26.1667,85.6667,3,0,0.3333,0.1667
AP,Arch Point,SB,Santa Barbara Island,2009,Outside,0.6667,0.6667,0,25.6667,2.1667,1.1667,5.1667,7.8333,0,0,0,0,0,49.6667,0,0,0,0,7.3333,0,0,0.1667,0,0,0.1667,0,29,94.3333,0.5,0,0,2.6667
AP,Arch Point,SB,Santa Barbara Island,2010,Outside,0.6667,0.8333,0,26.8333,2,0.8333,9,6.5,0,0,0,0,0.6667,47.1667,0,0,0,0.8333,14.3333,0,0,3.6667,0,3.3333,0,0,16,90.3333,0.6667,0,0,0.6667
AP,Arch Point,SB,Santa Barbara Island,2011,Outside,0,0.1667,0,34.1667,1.5,0.3333,9.5,14,0,0,0,0,0,43.1667,0,0,0,0,10,0,0,0.1667,0,0,0,0,10.6667,87.8333,2.6667,0,0,0
AP,Arch Point,SB,Santa Barbara Island,2012,Outside,0,0,0,25.6667,0.5,0.1667,8.1667,8.6667,0,0,0,0,0,52.5,0,0,0,0,10.8333,0,0,0,0,0,0,0,3.1667,91.6667,0.1667,0,0,0
AP,Arch Point,SB,Santa Barbara Island,2013,Outside,0.8333,0.3333,0,35.5,0.6667,0.8333,9,6.5,0,0,0.5,0,0,40.6667,0,0,0,0,14.6667,0.3333,0,0,0,1.1667,0,0,6,84.8333,6.1667,0,0.1667,1.1667
AP,Arch Point,SB,Santa Barbara Island,2014,Outside,0.3333,0.1667,0,23.6667,0.1667,0.8333,4,7.3333,0,0,0,0,0,47.1667,0,0,0,0,10.8333,0.1667,0,0.3333,0,6.5,0,0,19,91,5,0,0.3333,0.3333
