"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","ArmNo","<10cm",">10cm"
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2339,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2342,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2392,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2394,3,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2395,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2397,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2398,0,2
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2406,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2408,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2409,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2411,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2413,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1996,8/5/1996 0:00:00,2414,0,4
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2339,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2342,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2392,0,3
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2394,0,3
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2395,0,3
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2397,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2398,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2406,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2408,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2409,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2411,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2413,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1997,9/22/1997 0:00:00,2414,0,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1998,9/28/1998 0:00:00,2392,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1998,9/28/1998 0:00:00,2394,0,0
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",11007.00,"Parastichopus parvimensis","warty sea cucumber",1998,9/28/1998 0:00:00,2397,0,2
