"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","SurveyYear","SurveyDate","PermanentObserverNumber","ScientificName","CommonName","Count","TotalLength_cm","MinimumLength_cm","MaximumLength_cm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Brachyistius frenatus","kelp surfperch",4,7,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Embiotoca jacksoni","black surfperch, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",3,7,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",6,15,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",2,20,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",3,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",3,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",2,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Ophiodon elongatus","lingcod",1,50,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Oxyjulis californica","señorita, all",400,4,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Oxyjulis californica","señorita, all",4,12,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Oxyjulis californica","señorita, all",10,15,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Rhacochilus vacca","pile perch, all",1,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Rhacochilus vacca","pile perch, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",5,12,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",1,14,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",9,15,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",2,17,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",1,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",1,23,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",1,24,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",1,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",2,27,,
