"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","SurveyYear","SurveyDate","PermanentObserverNumber","Species","ScientificName","CommonName","Marker","Height_cm","Width_cm","Count"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23605,57,43,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23606,70,39,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23607,76,60,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23608,85,59,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23609,100,65,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23610,107,107,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23611,110,75,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23612,115,105,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23613,115,70,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23614,125,65,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1985,6/26/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23615,155,105,1
1,"SM","San Miguel Island","WL","Wyckoff Ledge",1989,9/14/1989 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24806,22,14,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23616,10,25,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23617,20,62,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23618,23,21,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23619,25,38,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23620,26,17,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23621,30,55,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23622,41,12,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23623,50,10,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23624,50,30,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23625,59,81,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23626,64,32,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23627,64,53,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23628,74,81,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23629,78,68,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23630,80,65,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23631,89,110,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23632,89,98,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23633,90,15,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23634,92,60,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23635,99,57,1
