"Location_ID","Location_Code","Site_ID","GIS_Location_ID","Meta_MID","X_Coord","Y_Coord","Coord_Units","Coord_System","UTM_Zone","Datum","Est_H_Error","Accuracy_Notes","Unit_Code","Loc_Name","Loc_Type","Updated_Date","Loc_Notes","Established_Date","MPA_Established_Date","Monitoring_Status","Biogeographical_Province","East_West_Biogeographical_Region","Site_Number","Marine_Reserve_Code","Inside_Marine_Reserve","Mean_Depth_ft","Temperature_Logger_Depth_m","PISCO_Site_Name","PISCO_Database_Site_Name","PISCO_Side"
-2006956041,"SP1",-820860260,,,,,,,,,,,"CHIS","Signal Peak",,,,,,"Inactive",,,,,,,,,,
-1972639608,"LC",-1338083285,,,-119.36,34.01,"dd","Geo",,,,,"CHIS","Landing Cove","TL",,,1/1/1982 0:00:00,1/1/1979 0:00:00,"Active","Californian Province","East",13,"AN","inside",24.25,5,"Anacapa East Island","ANACAPA_EAST_ISLE","E"
-1932145149,"KH",-1338083285,,,-119.43,34.01,"dd","Geo",,,,,"CHIS","Keyhole","TL",,"Set up as of of the NRPP Marine Reserve monitoring sites.",8/7/2005 0:00:00,1/1/2003 0:00:00,"Active","Californian Province","East",31,"AN","inside",29.63,11,"Anacapa West Island","ANACAPA_WEST_ISLE","E"
-1903399833,"FH",-963631763,,,-119.75,34.05,"dd","Geo",,,,,"CHIS","Fry's Harbor","TL",,,1/1/1982 0:00:00,,"Active","Transition Zone","West",7,,"outside",40.82,13,,,
-1898735588,"PB",-963631763,,,-119.70,34.03,"dd","Geo",,,,,"CHIS","Pelican Bay","TL",,,1/1/1982 0:00:00,,"Active","Transition Zone","West",8,,"outside",21.33,8,"Pelican's","SCI_PELICAN","W"
-1819187653,"CAT",-820860260,,,-119.03,33.46,"dd","Geo",,,,,"CHIS","Cat Canyon","TL",,,6/26/1986 0:00:00,,"Active","Californian Province","East",16,"SB","outside",25.90,8,"Cat Canyon","SBI_CAT_CANYON","CEN"
-1760706444,"JLSO",374381672,,,-120.10,33.89,"dd","Geo",,,,,"CHIS","Johnson's Lee South","TL",,,1/1/1982 0:00:00,,"Active","Transition Zone","West",4,"SR","outside",46.72,13,"Johnson's Lee South ","SRI_JOHNSONS_LEE_SOUTH","E"
-1681278378,"CSAW",374381672,,,-120.13,33.90,"dd","Geo",,,,,"CHIS","Chickasaw","TL",,"Set up as of of the NRPP Marine Reserve monitoring sites.",8/12/2005 0:00:00,1/1/2003 0:00:00,"Active","Oregonian Province","West",24,"SR","inside",36.60,10,"Chickasaw","SRI_CHICKASAW","CEN"
-1472551819,"SA",-963631763,,,-119.55,34.04,"dd","Geo",,,,,"CHIS","Scorpion Anchorage","TL",,,1/1/1982 0:00:00,1/1/2003 0:00:00,"Active","Californian Province","East",9,"SC","inside",15.45,5,"Scorpion","SCI_SCORPION","CEN"
-1340975344,"LS",-963631763,,,-119.54,34.04,"dd","Geo",,,,,"CHIS","Little Scorpion","TL",,"Set up as of of the NRPP Marine Reserve monitoring sites.",8/8/2005 0:00:00,,"Active","Californian Province","East",29,"SC","outside",37.81,11,"Little Scorpion","SCI_LITTLE_SCORPION","W"
